charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, large or small curd, creamed, cottage
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 98.00, KCAL
"Fat", 4.30, G
"Protein", 11.12, G
"Carbohydrate", 3.38, G
"Folic acid", 0.00, UG
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin A", 140.00, IU
"Vitamin D3", 0.10, UG
"Vitamin D", 0.10, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 12.00, UG
"Saturated fatty acids", 1.718, G
"Fructose", 0.00, G
"Galactose", 0.00, G
"Vitamin A, RAE", 37.00, UG
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Monounsaturated fatty acids", 0.778, G
"Polyunsaturated fatty acids", 0.123, G
"Vitamin D (D2 + D3), International Units", 3.00, IU
"Fluoride, F", 31.6, UG
"Folate, DFE", 12.00, UG
"Alcohol, ethyl", 0.0, G
"Lactose", 2.67, G
"Iron, Fe", 0.07, MG
"Magnesium, Mg", 8.00, MG
"Phosphorus, P", 159.00, MG
"Ash", 1.41, G
"Octanoic acid", 0.023, G
"Dodecanoic acid", 0.070, G
"Tetradecanoic acid", 0.263, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Tetradecenoic acid", 0.017, G
"Hexadecenoic acid", 0.047, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.012, G
"Tryptophan", 0.147, G
"Threonine", 0.500, G
"Methionine", 0.269, G
"Phenylalanine", 0.577, G
"Tyrosine", 0.604, G
"Alanine", 0.384, G
"Glutamic acid", 2.603, G
"Glycine", 0.222, G
"Proline", 1.229, G
"Vitamin B12", 0.43, UG
"Thiamin", 0.027, MG
"Riboflavin", 0.163, MG
"Retinol", 36.00, UG
"Copper, Cu", 0.029, MG
"Manganese, Mn", 0.002, MG
"Cholesterol", 17.00, MG
"Selenium, Se", 9.7, UG
"Vitamin E", 0.08, MG
"Sugars", 2.67, G
"Calcium, Ca", 83.00, MG
"Potassium, K", 104.00, MG
"Zinc, Zn", 0.40, MG
"Water", 79.79, G
"Niacin", 0.099, MG
"Pantothenic acid", 0.557, MG
"Vitamin B6", 0.046, MG
"Isoleucine", 0.591, G
"Leucine", 1.116, G
"Lysine", 0.934, G
"Cystine", 0.066, G
"Valine", 0.748, G
"Arginine", 0.497, G
"Histidine", 0.326, G
"Aspartic acid", 0.905, G
"Serine", 0.639, G
"Vitamin K (Menaquinone-4)", 0.90, UG
"Pentadecanoic acid", 0.029, G
"Butanoic acid", 0.109, G
"Hexanoic acid", 0.025, G
"Decanoic acid", 0.064, G
"Hexadecanoic acid", 0.778, G
"Octadecanoic acid", 0.345, G
"Octadecenoic acid", 0.714, G
"Octadecadienoic acid", 0.105, G
"Octadecatrienoic acid", 0.017, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Sodium, Na", 315.00, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Folate", 12.00, UG
"Vitamin C", 0.0, MG
"Fiber", 0.0, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 12.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Choline", 18.4, MG
"Betaine", 0.7, MG
"Tocopherol, alpha", 0.08, MG
# Downloaded from https://www.nutritionvalue.org 
