charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, large or small curd, dry, uncreamed, nonfat, cottage
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 72.00, KCAL
"Fat", 0.29, G
"Protein", 10.34, G
"Carbohydrate", 6.66, G
"Folic acid", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.85, G
"Lutein + zeaxanthin", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fluoride, F", 31.6, UG
"Alcohol, ethyl", 0.0, G
"Sucrose", 0.00, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.01, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.144, MG
"Pantothenic acid", 0.446, MG
"Vitamin B6", 0.016, MG
"Calcium, Ca", 86.00, MG
"Potassium, K", 137.00, MG
"Zinc, Zn", 0.47, MG
"Maltose", 0.00, G
"Water", 81.01, G
"Butanoic acid", 0.007, G
"Hexanoic acid", 0.002, G
"Selenium, Se", 9.4, UG
"Vitamin E", 0.01, MG
"Folate, DFE", 9.00, UG
"Isoleucine", 0.549, G
"Leucine", 1.037, G
"Lysine", 0.868, G
"Cystine", 0.061, G
"Valine", 0.695, G
"Arginine", 0.462, G
"Histidine", 0.303, G
"Aspartic acid", 0.841, G
"Serine", 0.594, G
"Hexadecanoic acid", 0.070, G
"Octadecanoic acid", 0.050, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.067, G
"Octadecadienoic acid", 0.003, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.079, G
"Polyunsaturated fatty acids", 0.003, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Uncosapentaenoic acid", 0.000, G
"Cholesterol", 7.00, MG
"Saturated fatty acids", 0.169, G
"Thiamin", 0.023, MG
"Riboflavin", 0.226, MG
"Folate", 9.00, UG
"Vitamin B12", 0.46, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 9.00, UG
"Tryptophan", 0.137, G
"Threonine", 0.465, G
"Methionine", 0.250, G
"Phenylalanine", 0.536, G
"Tyrosine", 0.561, G
"Alanine", 0.357, G
"Glutamic acid", 2.419, G
"Glycine", 0.206, G
"Proline", 1.142, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Tetradecanoic acid", 0.020, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Ash", 1.71, G
"Fructose", 0.00, G
"Tocopherol, delta", 0.00, MG
"Iron, Fe", 0.15, MG
"Magnesium, Mg", 11.00, MG
"Phosphorus, P", 190.00, MG
"Copper, Cu", 0.030, MG
"Manganese, Mn", 0.022, MG
"Vitamin A", 8.00, IU
"Retinol", 2.00, UG
"Vitamin A, RAE", 2.00, UG
"Sodium, Na", 372.00, MG
"Lactose", 1.56, G
"Glucose (dextrose)", 0.29, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Fiber", 0.0, G
"Octanoic acid", 0.005, G
"Dodecanoic acid", 0.006, G
"Hexadecenoic acid", 0.012, G
"Vitamin C", 0.0, MG
"Decanoic acid", 0.009, G
"Vitamin D", 0.00, UG
"Choline", 17.9, MG
"Betaine", 0.9, MG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
