charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, muenster
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 368.00, KCAL
"Fat", 30.04, G
"Protein", 23.41, G
"Carbohydrate", 1.12, G
"Folic acid", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 2.5, UG
"Carotene, beta", 13.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.12, G
"Vitamin E", 0.26, MG
"Lutein + zeaxanthin", 0.00, UG
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Choline", 15.4, MG
"Vitamin D (D2 + D3), International Units", 22.00, IU
"Folate, DFE", 12.00, UG
"Folate, food", 12.00, UG
"Vitamin D3", 0.60, UG
"Vitamin D", 0.60, UG
"Vitamin A", 1012.00, IU
"Retinol", 297.00, UG
"Vitamin A, RAE", 298.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Ash", 3.66, G
"Fiber", 0.0, G
"Iron, Fe", 0.41, MG
"Magnesium, Mg", 27.00, MG
"Phosphorus, P", 468.00, MG
"Sodium, Na", 628.00, MG
"Copper, Cu", 0.031, MG
"Manganese, Mn", 0.008, MG
"Cholesterol", 96.00, MG
"Saturated fatty acids", 19.113, G
"Octanoic acid", 0.275, G
"Dodecanoic acid", 0.367, G
"Tetradecanoic acid", 3.072, G
"Hexadecenoic acid", 0.973, G
"Vitamin C", 0.0, MG
"Thiamin", 0.013, MG
"Riboflavin", 0.320, MG
"Folate", 12.00, UG
"Vitamin B12", 1.47, UG
"Tryptophan", 0.327, G
"Threonine", 0.888, G
"Methionine", 0.569, G
"Phenylalanine", 1.240, G
"Tyrosine", 1.123, G
"Alanine", 0.675, G
"Glutamic acid", 5.555, G
"Glycine", 0.440, G
"Proline", 2.594, G
"Calcium, Ca", 717.00, MG
"Potassium, K", 134.00, MG
"Zinc, Zn", 2.81, MG
"Water", 41.77, G
"Niacin", 0.103, MG
"Pantothenic acid", 0.190, MG
"Vitamin B6", 0.056, MG
"Butanoic acid", 1.042, G
"Hexanoic acid", 0.243, G
"Decanoic acid", 0.586, G
"Hexadecanoic acid", 9.218, G
"Octadecanoic acid", 3.569, G
"Octadecenoic acid", 7.338, G
"Octadecadienoic acid", 0.431, G
"Octadecatrienoic acid", 0.230, G
"Eicosatetraenoic acid", 0.000, G
"Isoleucine", 1.145, G
"Leucine", 2.260, G
"Lysine", 2.139, G
"Cystine", 0.132, G
"Valine", 1.482, G
"Arginine", 0.881, G
"Histidine", 0.829, G
"Aspartic acid", 1.600, G
"Serine", 1.299, G
"Monounsaturated fatty acids", 8.711, G
"Polyunsaturated fatty acids", 0.661, G
"Selenium, Se", 14.5, UG
"Tocopherol, alpha", 0.26, MG
# Downloaded from https://www.nutritionvalue.org 
