charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, reduced fat, cheddar
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 316.00, KCAL
"Fat", 20.41, G
"Protein", 27.35, G
"Carbohydrate", 2.67, G
"Galactose", 0.07, G
"Fiber", 0.0, G
"Iron, Fe", 0.12, MG
"Magnesium, Mg", 27.00, MG
"Phosphorus, P", 520.00, MG
"Sodium, Na", 628.00, MG
"Copper, Cu", 0.043, MG
"Manganese, Mn", 0.031, MG
"Vitamin A", 522.00, IU
"Retinol", 142.00, UG
"Vitamin A, RAE", 145.00, UG
"Carotene, beta", 28.00, UG
"Ash", 3.89, G
"Fructose", 0.00, G
"Lactose", 0.18, G
"Alcohol, ethyl", 0.0, G
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.30, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.021, MG
"Riboflavin", 0.397, MG
"Folate", 20.00, UG
"Vitamin B12", 1.41, UG
"Vitamin K", 1.5, UG
"Folate, food", 20.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 76.00, MG
"Fatty acids, total trans", 0.733, G
"Saturated fatty acids", 12.602, G
"Octanoic acid", 0.228, G
"Dodecanoic acid", 0.641, G
"Tetradecanoic acid", 2.050, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.009, G
"Tetradecenoic acid", 0.201, G
"Hexadecenoic acid", 0.327, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Heptadecanoic acid", 0.128, G
"Tetracosanoic acid", 0.007, G
"Trans-hexadecenoic acid", 0.068, G
"Tetracosenoic cis acid", 0.007, G
"Cis-octadecenoic acid", 4.175, G
"Cis,cis-octadecadienoic n-6 acid", 0.495, G
"Docosenoic cis acid", 0.002, G
"Heptadecenoic acid", 0.038, G
"Fatty acids, total trans-monoenoic", 0.581, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.06, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.003, G
"Docosatetraenoic acid", 0.006, G
"Zinc, Zn", 4.44, MG
"Selenium, Se", 35.8, UG
"Vitamin E", 0.48, MG
"Vitamin D (D2 + D3), International Units", 13.00, IU
"Lutein + zeaxanthin", 4.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.08, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.145, MG
"Pantothenic acid", 0.389, MG
"Vitamin B6", 0.084, MG
"Choline", 15.4, MG
"Folic acid", 0.00, UG
"Folate, DFE", 20.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.439, G
"Hexanoic acid", 0.361, G
"Decanoic acid", 0.563, G
"Hexadecanoic acid", 5.759, G
"Octadecanoic acid", 2.159, G
"Eicosanoic acid", 0.031, G
"Octadecenoic acid", 4.689, G
"Octadecadienoic acid", 0.743, G
"Octadecatrienoic acid", 0.064, G
"Eicosatetraenoic acid", 0.035, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.040, G
"Docosenoic acid", 0.002, G
"Monounsaturated fatty acids", 5.304, G
"Polyunsaturated fatty acids", 0.893, G
"Pentadecanoic acid", 0.227, G
"Trans-octadecenoic acid", 0.514, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.149, G
"Octadecadienoic CLAs acid", 0.099, G
"Cis,cis-eicosadienoic n-6 acid", 0.003, G
"Cis-hexadecenoic acid", 0.260, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.025, G
"Fatty acids, total trans-polyenoic", 0.152, G
"Eicosadienoic n-6 acid", 0.025, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 44.29, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.26, G
"Calcium, Ca", 761.00, MG
"Potassium, K", 63.00, MG
"Tocopherol, alpha", 0.48, MG
# Downloaded from https://www.nutritionvalue.org 
