charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, sliced, sharp, cheddar
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 410.00, KCAL
"Fat", 33.82, G
"Protein", 24.25, G
"Carbohydrate", 2.13, G
"Ash", 3.66, G
"Fructose", 0.00, G
"Lactose", 0.18, G
"Alcohol, ethyl", 0.0, G
"Galactose", 0.08, G
"Fiber", 0.0, G
"Iron, Fe", 0.16, MG
"Magnesium, Mg", 27.00, MG
"Phosphorus, P", 460.00, MG
"Sodium, Na", 644.00, MG
"Copper, Cu", 0.035, MG
"Manganese, Mn", 0.024, MG
"Vitamin A", 994.00, IU
"Retinol", 256.00, UG
"Vitamin A, RAE", 263.00, UG
"Carotene, beta", 85.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D3", 1.00, UG
"Vitamin D", 1.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.027, MG
"Riboflavin", 0.434, MG
"Folate", 27.00, UG
"Vitamin B12", 0.88, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 2.4, UG
"Folate, food", 27.00, UG
"Tryptophan", 0.321, G
"Threonine", 1.091, G
"Methionine", 0.587, G
"Phenylalanine", 1.259, G
"Tyrosine", 1.317, G
"Alanine", 0.838, G
"Glutamic acid", 5.675, G
"Glycine", 0.484, G
"Proline", 2.680, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 99.00, MG
"Fatty acids, total trans", 1.179, G
"Saturated fatty acids", 19.368, G
"Octanoic acid", 0.361, G
"Dodecanoic acid", 0.967, G
"Tetradecanoic acid", 3.103, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.014, G
"Tetradecenoic acid", 0.305, G
"Hexadecenoic acid", 0.492, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.02, G
"Heptadecanoic acid", 0.195, G
"Tetracosanoic acid", 0.009, G
"Trans-hexadecenoic acid", 0.104, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 6.667, G
"Cis,cis-octadecadienoic n-6 acid", 0.775, G
"Docosenoic cis acid", 0.001, G
"Heptadecenoic acid", 0.059, G
"Fatty acids, total trans-monoenoic", 0.946, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.12, G
"Eicosadienoic n-3 acid", 0.002, G
"Trans-octadecatrienoic acid", 0.003, G
"Docosatetraenoic acid", 0.008, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 36.15, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.27, G
"Calcium, Ca", 711.00, MG
"Potassium, K", 76.00, MG
"Zinc, Zn", 3.74, MG
"Selenium, Se", 28.3, UG
"Vitamin E", 0.78, MG
"Vitamin D (D2 + D3), International Units", 41.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.06, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.039, MG
"Pantothenic acid", 0.481, MG
"Vitamin B6", 0.075, MG
"Choline", 16.5, MG
"Vitamin K (Menaquinone-4)", 8.60, UG
"Folic acid", 0.00, UG
"Folate, DFE", 27.00, UG
"Isoleucine", 1.289, G
"Leucine", 2.434, G
"Lysine", 2.037, G
"Cystine", 0.144, G
"Valine", 1.631, G
"Arginine", 1.084, G
"Histidine", 0.710, G
"Aspartic acid", 1.973, G
"Serine", 1.394, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.675, G
"Hexanoic acid", 0.565, G
"Decanoic acid", 0.857, G
"Hexadecanoic acid", 8.705, G
"Octadecanoic acid", 3.547, G
"Eicosanoic acid", 0.049, G
"Octadecenoic acid", 7.509, G
"Octadecadienoic acid", 1.179, G
"Octadecatrienoic acid", 0.122, G
"Eicosatetraenoic acid", 0.050, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.061, G
"Docosenoic acid", 0.001, G
"Monounsaturated fatty acids", 8.428, G
"Polyunsaturated fatty acids", 1.433, G
"Pentadecanoic acid", 0.322, G
"Trans-octadecenoic acid", 0.842, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.230, G
"Octadecadienoic CLAs acid", 0.174, G
"Cis,cis-eicosadienoic n-6 acid", 0.007, G
"Cis-hexadecenoic acid", 0.388, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.001, G
"Eicosadienoic acid", 0.037, G
"Fatty acids, total trans-polyenoic", 0.233, G
"Eicosadienoic n-6 acid", 0.036, G
"Tocopherol, alpha", 0.78, MG
# Downloaded from https://www.nutritionvalue.org 
