charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, swiss
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 393.00, KCAL
"Fat", 30.99, G
"Protein", 26.96, G
"Carbohydrate", 1.44, G
"Folic acid", 0.00, UG
"Choline", 13.8, MG
"Betaine", 0.1, MG
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Octadecanoic acid", 3.196, G
"Eicosanoic acid", 0.044, G
"Octadecenoic acid", 7.060, G
"Octadecadienoic acid", 1.086, G
"Octadecatrienoic acid", 0.129, G
"Eicosatetraenoic acid", 0.046, G
"Octadecatetraenoic acid", 0.001, G
"Eicosenoic acid", 0.060, G
"Docosenoic acid", 0.002, G
"Monounsaturated fatty acids", 8.046, G
"Polyunsaturated fatty acids", 1.341, G
"Pentadecanoic acid", 0.305, G
"Trans-octadecenoic acid", 0.692, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.191, G
"Octadecadienoic CLAs acid", 0.161, G
"Cis,cis-eicosadienoic n-6 acid", 0.007, G
"Cis-hexadecenoic acid", 0.463, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.002, G
"Eicosadienoic acid", 0.035, G
"Fatty acids, total trans-polyenoic", 0.194, G
"Eicosadienoic n-6 acid", 0.032, G
"Folate, DFE", 10.00, UG
"Butanoic acid", 0.681, G
"Hexanoic acid", 0.542, G
"Decanoic acid", 0.768, G
"Hexadecanoic acid", 8.358, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 37.63, G
"Sugars", 0.00, G
"Calcium, Ca", 890.00, MG
"Potassium, K", 72.00, MG
"Zinc, Zn", 4.37, MG
"Selenium, Se", 30.0, UG
"Vitamin E", 0.60, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin D2", 0.00, UG
"Lutein + zeaxanthin", 8.00, UG
"Tocopherol, beta", 0.02, MG
"Tocopherol, gamma", 0.07, MG
"Tocotrienol, alpha", 0.13, MG
"Niacin", 0.064, MG
"Pantothenic acid", 0.353, MG
"Vitamin B6", 0.071, MG
"Vitamin K (Menaquinone-4)", 6.30, UG
"Iron, Fe", 0.13, MG
"Magnesium, Mg", 33.00, MG
"Phosphorus, P", 574.00, MG
"Sodium, Na", 187.00, MG
"Copper, Cu", 0.047, MG
"Manganese, Mn", 0.026, MG
"Vitamin A", 1047.00, IU
"Retinol", 283.00, UG
"Vitamin A, RAE", 288.00, UG
"Carotene, beta", 61.00, UG
"Carotene, alpha", 1.00, UG
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 2.00, UG
"Lycopene", 1.00, UG
"Tocopherol, delta", 0.00, MG
"Docosanoic acid", 0.014, G
"Tetradecenoic acid", 0.297, G
"Hexadecenoic acid", 0.565, G
"Docosapentaenoic n-3 acid (DPA)", 0.02, G
"Heptadecanoic acid", 0.189, G
"Tetracosanoic acid", 0.009, G
"Trans-hexadecenoic acid", 0.102, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 6.369, G
"Cis,cis-octadecadienoic n-6 acid", 0.734, G
"Docosenoic cis acid", 0.002, G
"Heptadecenoic acid", 0.062, G
"Fatty acids, total trans-monoenoic", 0.793, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.12, G
"Eicosadienoic n-3 acid", 0.003, G
"Trans-octadecatrienoic acid", 0.002, G
"Docosatetraenoic acid", 0.007, G
"Thiamin", 0.011, MG
"Riboflavin", 0.302, MG
"Folate", 10.00, UG
"Vitamin B12", 3.06, UG
"Vitamin K", 1.4, UG
"Folate, food", 10.00, UG
"Galactose", 0.00, G
"Ash", 2.97, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Cholesterol", 93.00, MG
"Fatty acids, total trans", 0.987, G
"Saturated fatty acids", 18.227, G
"Octanoic acid", 0.327, G
"Dodecanoic acid", 0.875, G
"Tetradecanoic acid", 2.919, G
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Isoleucine", 1.537, G
"Leucine", 2.959, G
"Lysine", 2.585, G
"Cystine", 0.290, G
"Valine", 2.139, G
"Arginine", 0.927, G
"Histidine", 1.065, G
"Aspartic acid", 1.569, G
"Serine", 1.640, G
"Fiber", 0.0, G
"Tryptophan", 0.401, G
"Threonine", 1.038, G
"Methionine", 0.784, G
"Phenylalanine", 1.662, G
"Tyrosine", 1.693, G
"Alanine", 0.914, G
"Glutamic acid", 5.704, G
"Glycine", 0.508, G
"Proline", 3.690, G
"Vitamin C", 0.0, MG
"Tocopherol, alpha", 0.60, MG
# Downloaded from https://www.nutritionvalue.org 
