charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Chewing gum
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 360.00, KCAL
"Fat", 0.30, G
"Protein", 0.00, G
"Carbohydrate", 96.70, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.036, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.079, G
"Octadecadienoic acid", 0.133, G
"Octadecatrienoic acid", 0.004, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.079, G
"Polyunsaturated fatty acids", 0.137, G
"Saturated fatty acids", 0.042, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fluoride, F", 5.0, UG
"Sugars", 66.08, G
"Folate, DFE", 0.00, UG
"Water", 2.60, G
"Calcium, Ca", 0.00, MG
"Zinc, Zn", 0.00, MG
"Copper, Cu", 0.000, MG
"Ash", 0.40, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Riboflavin", 0.000, MG
"Manganese, Mn", 0.000, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Choline", 0.0, MG
"Potassium, K", 2.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Selenium, Se", 0.6, UG
"Vitamin E", 0.00, MG
"Cholesterol", 0.00, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Sodium, Na", 1.00, MG
"Alcohol, ethyl", 0.0, G
"Fiber", 2.4, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
