charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Chicken, raw, ground
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 143.00, KCAL
"Fat", 8.10, G
"Protein", 17.44, G
"Carbohydrate", 0.04, G
"Fatty acids, total trans-polyenoic", 0.022, G
"Folic acid", 0.00, UG
"Monounsaturated fatty acids", 3.611, G
"Polyunsaturated fatty acids", 1.508, G
"Isoleucine", 0.794, G
"Leucine", 1.361, G
"Lysine", 1.509, G
"Cystine", 0.188, G
"Valine", 0.826, G
"Arginine", 1.128, G
"Histidine", 0.529, G
"Aspartic acid", 1.616, G
"Serine", 0.731, G
"Vitamin E, added", 0.00, MG
"Water", 73.24, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Calcium, Ca", 6.00, MG
"Potassium, K", 522.00, MG
"Zinc, Zn", 1.47, MG
"Selenium, Se", 10.2, UG
"Vitamin E", 0.27, MG
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.17, MG
"Tocotrienol, alpha", 0.05, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 5.575, MG
"Pantothenic acid", 1.092, MG
"Vitamin B6", 0.512, MG
"Fiber", 0.0, G
"Iron, Fe", 0.82, MG
"Fatty acids, total trans-monoenoic", 0.042, G
"Magnesium, Mg", 21.00, MG
"Phosphorus, P", 178.00, MG
"Sodium, Na", 60.00, MG
"Copper, Cu", 0.065, MG
"Manganese, Mn", 0.016, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.03, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.109, MG
"Riboflavin", 0.241, MG
"Folate", 1.00, UG
"Vitamin B12", 0.56, UG
"Folate, food", 1.00, UG
"Tryptophan", 0.147, G
"Threonine", 0.727, G
"Methionine", 0.446, G
"Phenylalanine", 0.683, G
"Tyrosine", 0.604, G
"Alanine", 0.991, G
"Glutamic acid", 2.611, G
"Glycine", 0.838, G
"Proline", 0.658, G
"Hydroxyproline", 0.094, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 86.00, MG
"Fatty acids, total trans", 0.065, G
"Saturated fatty acids", 2.301, G
"Ash", 1.17, G
"Alcohol, ethyl", 0.0, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 1.791, G
"Octadecanoic acid", 0.456, G
"Eicosanoic acid", 0.005, G
"Octadecenoic acid", 3.035, G
"Octadecadienoic acid", 1.324, G
"Octadecatrienoic acid", 0.071, G
"Eicosatetraenoic acid", 0.074, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.025, G
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.042, G
"Trans,trans-octadecadienoic acid", 0.022, G
"Cis,cis-eicosadienoic n-6 acid", 0.011, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.014, G
"Eicosadienoic acid", 0.000, G
"Betaine", 7.7, MG
"Docosenoic acid", 0.000, G
"Choline", 58.8, MG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.041, G
"Docosahexaenoic n-3 acid (DHA)", 0.02, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.016, G
"Hexadecenoic acid", 0.536, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Heptadecanoic acid", 0.007, G
"Cis-octadecenoic acid", 2.992, G
"Cis,cis-octadecadienoic n-6 acid", 1.303, G
"Heptadecenoic acid", 0.000, G
"Vitamin K", 0.8, UG
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.06, G
"Folate, DFE", 1.00, UG
"Tocopherol, alpha", 0.27, MG
# Downloaded from https://www.nutritionvalue.org 
