charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Chicken, raw, meat only, roasting
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 111.00, KCAL
"Fat", 2.70, G
"Protein", 20.33, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Selenium, Se", 16.9, UG
"Water", 74.94, G
"Calcium, Ca", 10.00, MG
"Potassium, K", 238.00, MG
"Zinc, Zn", 1.19, MG
"Isoleucine", 1.073, G
"Leucine", 1.526, G
"Lysine", 1.727, G
"Cystine", 0.260, G
"Valine", 1.008, G
"Arginine", 1.226, G
"Histidine", 0.631, G
"Aspartic acid", 1.812, G
"Serine", 0.700, G
"Niacin", 7.875, MG
"Pantothenic acid", 1.032, MG
"Vitamin B6", 0.420, MG
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.450, G
"Octadecanoic acid", 0.180, G
"Octadecenoic acid", 0.690, G
"Octadecadienoic acid", 0.480, G
"Octadecatrienoic acid", 0.020, G
"Eicosatetraenoic acid", 0.080, G
"Eicosenoic acid", 0.010, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.830, G
"Polyunsaturated fatty acids", 0.670, G
"Tryptophan", 0.237, G
"Threonine", 0.859, G
"Methionine", 0.563, G
"Phenylalanine", 0.807, G
"Tyrosine", 0.686, G
"Alanine", 1.109, G
"Glutamic acid", 3.045, G
"Glycine", 0.998, G
"Proline", 0.836, G
"Cholesterol", 65.00, MG
"Saturated fatty acids", 0.670, G
"Dodecanoic acid", 0.010, G
"Tetradecanoic acid", 0.020, G
"Docosahexaenoic n-3 acid (DHA)", 0.03, G
"Hexadecenoic acid", 0.120, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Ash", 1.07, G
"Fiber", 0.0, G
"Iron, Fe", 1.03, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 198.00, MG
"Sodium, Na", 75.00, MG
"Copper, Cu", 0.050, MG
"Manganese, Mn", 0.018, MG
"Vitamin A", 45.00, IU
"Thiamin", 0.069, MG
"Riboflavin", 0.134, MG
"Folate", 7.00, UG
"Vitamin B12", 0.36, UG
"Octanoic acid", 0.000, G
"Retinol", 13.00, UG
"Vitamin A, RAE", 13.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Alcohol, ethyl", 0.0, G
"Vitamin K", 2.4, UG
"Folate, food", 7.00, UG
"Folate, DFE", 7.00, UG
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Vitamin E", 0.22, MG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Tocopherol, alpha", 0.22, MG
# Downloaded from https://www.nutritionvalue.org 
