charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Chicken spread
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 158.00, KCAL
"Fat", 17.56, G
"Protein", 18.01, G
"Carbohydrate", 4.05, G
"Water", 57.41, G
"Ash", 2.97, G
"Fiber", 0.3, G
"Tryptophan", 0.197, G
"Threonine", 0.730, G
"Methionine", 0.469, G
"Phenylalanine", 0.687, G
"Tyrosine", 0.568, G
"Alanine", 1.037, G
"Glutamic acid", 2.586, G
"Glycine", 1.166, G
"Proline", 0.868, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Isoleucine", 0.879, G
"Leucine", 1.286, G
"Lysine", 1.438, G
"Cystine", 0.237, G
"Valine", 0.859, G
"Arginine", 1.117, G
"Histidine", 0.517, G
"Aspartic acid", 1.580, G
"Serine", 0.626, G
"Hexadecenoic acid", 0.630, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 0.00, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 89.00, MG
"Thiamin", 0.009, MG
"Riboflavin", 0.114, MG
"Folate", 3.00, UG
"Copper, Cu", 0.040, MG
"Manganese, Mn", 0.012, MG
"Vitamin B12", 0.13, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.100, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.110, G
"Docosenoic acid", 0.000, G
"Niacin", 2.748, MG
"Pantothenic acid", 0.430, MG
"Vitamin B6", 0.150, MG
"Folic acid", 0.00, UG
"Potassium, K", 106.00, MG
"Zinc, Zn", 1.15, MG
"Selenium, Se", 10.8, UG
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 2.410, G
"Octadecanoic acid", 0.720, G
"Octadecenoic acid", 4.060, G
"Octadecadienoic acid", 2.230, G
"Octadecatrienoic acid", 0.120, G
"Eicosatetraenoic acid", 0.000, G
"Cholesterol", 56.00, MG
"Sodium, Na", 722.00, MG
"Vitamin C", 0.0, MG
"Vitamin A", 99.00, IU
"Retinol", 30.00, UG
"Iron, Fe", 0.87, MG
"Alcohol, ethyl", 0.0, G
"Butanoic acid", 0.000, G
"Calcium, Ca", 16.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Folate, DFE", 3.00, UG
"Vitamin A, RAE", 30.00, UG
"Saturated fatty acids", 3.230, G
"Folate, food", 3.00, UG
"Monounsaturated fatty acids", 4.800, G
"Polyunsaturated fatty acids", 2.350, G
"Sugars", 0.47, G
# Downloaded from https://www.nutritionvalue.org 
