charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Chives, freeze-dried
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 311.00, KCAL
"Fat", 3.50, G
"Protein", 21.20, G
"Carbohydrate", 64.29, G
"Folic acid", 0.00, UG
"Folate, DFE", 108.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fiber", 26.2, G
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Vitamin A, RAE", 3415.00, UG
"Fatty acids, total trans", 0.000, G
"Niacin", 5.900, MG
"Pantothenic acid", 2.106, MG
"Vitamin B6", 1.996, MG
"Monounsaturated fatty acids", 0.490, G
"Polyunsaturated fatty acids", 1.369, G
"Isoleucine", 0.899, G
"Leucine", 1.265, G
"Lysine", 1.058, G
"Valine", 0.936, G
"Arginine", 1.533, G
"Histidine", 0.366, G
"Aspartic acid", 1.961, G
"Serine", 0.957, G
"Hexadecanoic acid", 0.528, G
"Octadecanoic acid", 0.046, G
"Octadecenoic acid", 0.490, G
"Octadecadienoic acid", 1.296, G
"Octadecatrienoic acid", 0.073, G
"Water", 2.00, G
"Calcium, Ca", 813.00, MG
"Potassium, K", 2960.00, MG
"Zinc, Zn", 5.12, MG
"Ash", 9.01, G
"Iron, Fe", 20.00, MG
"Magnesium, Mg", 640.00, MG
"Phosphorus, P", 518.00, MG
"Sodium, Na", 70.00, MG
"Copper, Cu", 0.686, MG
"Manganese, Mn", 1.350, MG
"Vitamin A", 68300.00, IU
"Saturated fatty acids", 0.591, G
"Vitamin C", 660.0, MG
"Thiamin", 0.900, MG
"Riboflavin", 1.500, MG
"Folate", 108.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.237, G
"Threonine", 0.831, G
"Methionine", 0.231, G
"Phenylalanine", 0.682, G
"Tyrosine", 0.614, G
"Alanine", 0.957, G
"Glutamic acid", 4.386, G
"Glycine", 1.052, G
"Proline", 1.401, G
"Cholesterol", 0.00, MG
"Tetradecanoic acid", 0.017, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Vitamin D", 0.00, UG
"Folate, food", 108.00, UG
"Selenium, Se", 9.4, UG
# Downloaded from https://www.nutritionvalue.org 
