charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Chocolate, 60-69% cacao solids, dark
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 579.00, KCAL
"Fat", 38.31, G
"Protein", 6.12, G
"Carbohydrate", 52.42, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 8.47, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Vitamin E", 0.59, MG
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Stigmasterol", 29.00, MG
"Beta-sitosterol", 75.00, MG
"Docosenoic trans acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Fructose", 0.00, G
"Galactose", 0.00, G
"Eicosadienoic n-3 acid", 0.000, G
"Vitamin A, RAE", 3.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.34, MG
"Tocotrienol, gamma", 0.10, MG
"Tocotrienol, delta", 0.00, MG
"Cholesterol", 6.00, MG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Campesterol", 12.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Tetracosenoic cis acid", 0.000, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Ash", 1.90, G
"Lactose", 0.31, G
"Fiber", 8.0, G
"Iron, Fe", 6.32, MG
"Magnesium, Mg", 176.00, MG
"Phosphorus, P", 260.00, MG
"Sodium, Na", 10.00, MG
"Copper, Cu", 1.248, MG
"Manganese, Mn", 1.325, MG
"Vitamin A", 50.00, IU
"Carotene, beta", 25.00, UG
"Carotene, alpha", 9.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.09, G
"Fatty acids, total trans-monoenoic", 0.061, G
"Cis-octadecenoic acid", 11.318, G
"Cis,cis-octadecadienoic n-6 acid", 1.091, G
"Vitamin K", 7.2, UG
"Heptadecanoic acid", 0.081, G
"Tetracosanoic acid", 0.035, G
"Trans-hexadecenoic acid", 0.006, G
"Docosanoic acid", 0.062, G
"Tetradecenoic acid", 0.013, G
"Hexadecenoic acid", 0.116, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Fatty acids, total trans", 0.079, G
"Saturated fatty acids", 22.031, G
"Octanoic acid", 0.020, G
"Dodecanoic acid", 0.056, G
"Tetradecanoic acid", 0.192, G
"Thiamin", 0.032, MG
"Riboflavin", 0.049, MG
"Vitamin B12", 0.18, UG
"Docosatetraenoic acid", 0.003, G
"Sucrose", 36.39, G
"Water", 1.25, G
"Caffeine", 86.00, MG
"Theobromine", 632.00, MG
"Sugars", 36.71, G
"Calcium, Ca", 62.00, MG
"Potassium, K", 567.00, MG
"Zinc, Zn", 2.65, MG
"Selenium, Se", 8.4, UG
"Eicosadienoic acid", 0.000, G
"Fatty acids, total trans-polyenoic", 0.017, G
"Eicosadienoic n-6 acid", 0.000, G
"Trans-octadecadienoic acid", 0.017, G
"Octadecadienoic CLAs acid", 0.017, G
"Cis,cis-eicosadienoic n-6 acid", 0.001, G
"Cis-hexadecenoic acid", 0.110, G
"Monounsaturated fatty acids", 11.522, G
"Polyunsaturated fatty acids", 1.221, G
"Pentadecanoic acid", 0.027, G
"Trans-octadecenoic acid", 0.055, G
"Eicosenoic acid", 0.021, G
"Lutein + zeaxanthin", 32.00, UG
"Niacin", 0.838, MG
"Pantothenic acid", 0.300, MG
"Vitamin B6", 0.034, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Butanoic acid", 0.040, G
"Hexanoic acid", 0.030, G
"Decanoic acid", 0.064, G
"Hexadecanoic acid", 9.198, G
"Octadecanoic acid", 11.860, G
"Eicosanoic acid", 0.364, G
"Octadecenoic acid", 11.373, G
"Octadecadienoic acid", 1.126, G
"Octadecatrienoic acid", 0.088, G
"Eicosatetraenoic acid", 0.000, G
"Tocopherol, alpha", 0.59, MG
# Downloaded from https://www.nutritionvalue.org 
