charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cocoa mix, Rich Chocolate Hot Cocoa Mix, NESTLE
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 400.00, KCAL
"Fat", 15.00, G
"Protein", 3.00, G
"Carbohydrate", 75.00, G
"Ash", 3.27, G
"Vitamin A", 11.00, IU
"Vitamin C", 0.0, MG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.250, G
"Saturated fatty acids", 10.000, G
"Fiber", 4.0, G
"Iron, Fe", 1.80, MG
"Sodium, Na", 850.00, MG
"Water", 3.73, G
"Sugars", 60.00, G
"Calcium, Ca", 100.00, MG
"Potassium, K", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
