charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cocoa, unsweetened, dry powder
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 228.00, KCAL
"Fat", 13.70, G
"Protein", 19.60, G
"Carbohydrate", 57.90, G
"Folic acid", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Sugars", 1.75, G
"Vitamin E", 0.10, MG
"Lutein + zeaxanthin", 38.00, UG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 2.5, UG
"Folate, food", 32.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Folate, DFE", 32.00, UG
"Fiber", 37.0, G
"Tetradecanoic acid", 0.020, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 8.070, G
"Tyrosine", 0.735, G
"Alanine", 0.904, G
"Glutamic acid", 2.948, G
"Glycine", 0.879, G
"Proline", 0.838, G
"Iron, Fe", 13.86, MG
"Magnesium, Mg", 499.00, MG
"Phosphorus, P", 734.00, MG
"Sodium, Na", 21.00, MG
"Copper, Cu", 3.788, MG
"Manganese, Mn", 3.837, MG
"Ash", 5.80, G
"Tryptophan", 0.293, G
"Threonine", 0.776, G
"Methionine", 0.202, G
"Phenylalanine", 0.941, G
"Vitamin C", 0.0, MG
"Thiamin", 0.078, MG
"Riboflavin", 0.241, MG
"Folate", 32.00, UG
"Vitamin B12", 0.00, UG
"Niacin", 2.185, MG
"Pantothenic acid", 0.254, MG
"Vitamin B6", 0.118, MG
"Isoleucine", 0.760, G
"Leucine", 1.189, G
"Lysine", 0.983, G
"Cystine", 0.239, G
"Water", 3.00, G
"Caffeine", 230.00, MG
"Theobromine", 2057.00, MG
"Calcium, Ca", 128.00, MG
"Potassium, K", 1524.00, MG
"Zinc, Zn", 6.81, MG
"Hexadecanoic acid", 3.690, G
"Octadecanoic acid", 4.250, G
"Octadecenoic acid", 4.570, G
"Octadecadienoic acid", 0.440, G
"Valine", 1.177, G
"Arginine", 1.111, G
"Histidine", 0.339, G
"Aspartic acid", 1.953, G
"Serine", 0.846, G
"Monounsaturated fatty acids", 4.570, G
"Polyunsaturated fatty acids", 0.440, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 14.3, UG
"Choline", 12.0, MG
"Tocopherol, alpha", 0.10, MG
# Downloaded from https://www.nutritionvalue.org 
