charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cookies, chocolate wafers
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 433.00, KCAL
"Fat", 14.20, G
"Protein", 6.60, G
"Carbohydrate", 72.70, G
"Fiber", 3.4, G
"Vitamin E", 0.72, MG
"Retinol", 3.00, UG
"Vitamin A, RAE", 3.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 2.4, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Sodium, Na", 580.00, MG
"Folate, food", 8.00, UG
"Folate", 47.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin A", 10.00, IU
"Lutein + zeaxanthin", 13.00, UG
"Caffeine", 10.00, MG
"Theobromine", 354.00, MG
"Sugars", 37.43, G
"Choline", 14.3, MG
"Folic acid", 39.00, UG
"Folate, DFE", 75.00, UG
"Vitamin E, added", 0.00, MG
"Ash", 2.00, G
"Tryptophan", 0.096, G
"Threonine", 0.220, G
"Methionine", 0.105, G
"Phenylalanine", 0.308, G
"Tyrosine", 0.205, G
"Alanine", 0.238, G
"Glutamic acid", 1.753, G
"Glycine", 0.236, G
"Proline", 0.577, G
"Copper, Cu", 0.463, MG
"Manganese, Mn", 0.696, MG
"Iron, Fe", 4.01, MG
"Magnesium, Mg", 53.00, MG
"Phosphorus, P", 132.00, MG
"Thiamin", 0.203, MG
"Riboflavin", 0.266, MG
"Cholesterol", 2.00, MG
"Calcium, Ca", 31.00, MG
"Potassium, K", 210.00, MG
"Zinc, Zn", 1.09, MG
"Niacin", 2.858, MG
"Isoleucine", 0.261, G
"Leucine", 0.447, G
"Lysine", 0.281, G
"Cystine", 0.127, G
"Valine", 0.323, G
"Arginine", 0.286, G
"Histidine", 0.128, G
"Aspartic acid", 0.407, G
"Serine", 0.335, G
"Water", 4.50, G
"Eicosenoic acid", 0.001, G
"Vitamin D", 0.00, UG
"Pantothenic acid", 0.381, MG
"Vitamin B6", 0.051, MG
"Selenium, Se", 5.7, UG
"Butanoic acid", 0.001, G
"Hexanoic acid", 0.011, G
"Decanoic acid", 0.102, G
"Hexadecanoic acid", 1.796, G
"Octadecanoic acid", 1.125, G
"Octadecenoic acid", 4.807, G
"Octadecadienoic acid", 3.866, G
"Octadecatrienoic acid", 0.268, G
"Eicosatetraenoic acid", 0.006, G
"Octadecatetraenoic acid", 0.001, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 4.865, G
"Polyunsaturated fatty acids", 4.153, G
"Saturated fatty acids", 4.241, G
"Octanoic acid", 0.128, G
"Dodecanoic acid", 0.760, G
"Tetradecanoic acid", 0.305, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.048, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Vitamin B12", 0.09, UG
"Vitamin C", 0.0, MG
"Tocopherol, alpha", 0.72, MG
# Downloaded from https://www.nutritionvalue.org 
