charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cookies, lemon wafer, gluten-free
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 515.00, KCAL
"Fat", 24.18, G
"Protein", 0.00, G
"Carbohydrate", 74.39, G
"Thiamin", 0.045, MG
"Riboflavin", 0.074, MG
"Folate", 0.00, UG
"Folate, food", 0.00, UG
"Fatty acids, total trans", 0.043, G
"Saturated fatty acids", 10.501, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.070, G
"Tetradecanoic acid", 0.227, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.019, G
"Tetradecenoic acid", 0.003, G
"Hexadecenoic acid", 0.030, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.017, G
"Tetracosanoic acid", 0.015, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 8.216, G
"Cis,cis-octadecadienoic n-6 acid", 2.522, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.006, G
"Fatty acids, total trans-monoenoic", 0.014, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.09, G
"Eicosadienoic n-3 acid", 0.007, G
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Ash", 0.30, G
"Starch", 33.55, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.18, MG
"Magnesium, Mg", 3.00, MG
"Phosphorus, P", 39.00, MG
"Sodium, Na", 111.00, MG
"Copper, Cu", 0.000, MG
"Manganese, Mn", 0.019, MG
"Sucrose", 42.31, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 1.12, G
"Sugars", 42.31, G
"Calcium, Ca", 9.00, MG
"Potassium, K", 36.00, MG
"Zinc, Zn", 0.03, MG
"Selenium, Se", 0.0, UG
"Niacin", 0.065, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.004, G
"Hexadecanoic acid", 9.124, G
"Octadecanoic acid", 0.939, G
"Eicosanoic acid", 0.077, G
"Octadecenoic acid", 8.230, G
"Octadecadienoic acid", 2.557, G
"Octadecatrienoic acid", 0.098, G
"Eicosatetraenoic acid", 0.004, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.043, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 8.312, G
"Polyunsaturated fatty acids", 2.670, G
"Pentadecanoic acid", 0.010, G
"Trans-octadecenoic acid", 0.014, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.029, G
"Octadecadienoic CLAs acid", 0.006, G
"Cis,cis-eicosadienoic n-6 acid", 0.002, G
"Cis-hexadecenoic acid", 0.030, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.010, G
"Eicosadienoic acid", 0.007, G
"Fatty acids, total trans-polyenoic", 0.029, G
"Eicosadienoic n-6 acid", 0.000, G
"Tocopherol, delta", 0.36, MG
"Tocotrienol, gamma", 4.79, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin E", 3.12, MG
"Tocopherol, beta", 0.09, MG
"Tocopherol, gamma", 1.17, MG
"Tocotrienol, alpha", 3.28, MG
"Tocotrienol, beta", 0.35, MG
"Tocopherol, alpha", 3.12, MG
# Downloaded from https://www.nutritionvalue.org 
