charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cookies, lower fat, vanilla wafers
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 441.00, KCAL
"Fat", 15.20, G
"Protein", 5.00, G
"Carbohydrate", 73.60, G
"Fiber", 1.9, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin A", 30.00, IU
"Retinol", 8.00, UG
"Vitamin A, RAE", 8.00, UG
"Carotene, beta", 1.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Folate", 60.00, UG
"Vitamin K", 6.0, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.23, MG
"Lutein + zeaxanthin", 41.00, UG
"Folic acid", 51.00, UG
"Choline", 27.6, MG
"Sugars", 37.50, G
"Folate, DFE", 96.00, UG
"Alcohol, ethyl", 0.0, G
"Sodium, Na", 388.00, MG
"Calcium, Ca", 48.00, MG
"Potassium, K", 97.00, MG
"Zinc, Zn", 0.36, MG
"Water", 5.10, G
"Isoleucine", 0.213, G
"Leucine", 0.365, G
"Lysine", 0.230, G
"Cystine", 0.110, G
"Valine", 0.244, G
"Arginine", 0.221, G
"Histidine", 0.106, G
"Aspartic acid", 0.297, G
"Serine", 0.293, G
"Niacin", 3.106, MG
"Pantothenic acid", 0.410, MG
"Vitamin B6", 0.073, MG
"Ash", 1.10, G
"Iron, Fe", 2.38, MG
"Magnesium, Mg", 14.00, MG
"Phosphorus, P", 104.00, MG
"Copper, Cu", 0.100, MG
"Manganese, Mn", 0.262, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.275, MG
"Riboflavin", 0.320, MG
"Folate, food", 9.00, UG
"Tryptophan", 0.068, G
"Threonine", 0.169, G
"Methionine", 0.105, G
"Phenylalanine", 0.243, G
"Tyrosine", 0.160, G
"Alanine", 0.188, G
"Glutamic acid", 1.335, G
"Glycine", 0.167, G
"Proline", 0.444, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Cholesterol", 51.00, MG
"Saturated fatty acids", 3.838, G
"Vitamin B12", 0.13, UG
"Tetradecanoic acid", 0.060, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Hexadecenoic acid", 0.031, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Monounsaturated fatty acids", 6.544, G
"Polyunsaturated fatty acids", 3.887, G
"Hexadecanoic acid", 2.244, G
"Octadecanoic acid", 1.543, G
"Octadecenoic acid", 6.508, G
"Octadecadienoic acid", 3.625, G
"Octadecatrienoic acid", 0.231, G
"Eicosatetraenoic acid", 0.017, G
"Octadecatetraenoic acid", 0.002, G
"Eicosenoic acid", 0.003, G
"Vitamin D", 0.00, UG
"Selenium, Se", 11.3, UG
"Tocopherol, alpha", 0.23, MG
# Downloaded from https://www.nutritionvalue.org 
