charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Corn flour, blue (harina de maiz morado), whole-grain
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 364.00, KCAL
"Fat", 5.09, G
"Protein", 8.75, G
"Carbohydrate", 73.89, G
"Ash", 1.44, G
"Starch", 68.00, G
"Fiber", 8.4, G
"Iron, Fe", 1.74, MG
"Magnesium, Mg", 110.00, MG
"Phosphorus, P", 263.00, MG
"Sodium, Na", 5.00, MG
"Copper, Cu", 0.154, MG
"Manganese, Mn", 0.540, MG
"Thiamin", 0.160, MG
"Riboflavin", 0.230, MG
"Water", 10.83, G
"Calcium, Ca", 5.00, MG
"Potassium, K", 381.00, MG
"Zinc, Zn", 2.24, MG
"Selenium, Se", 2.2, UG
"Niacin", 2.600, MG
"Pantothenic acid", 0.550, MG
"Vitamin B6", 0.470, MG
# Downloaded from https://www.nutritionvalue.org 
