charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Crackers, plain, wafers, rye
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 334.00, KCAL
"Fat", 0.90, G
"Protein", 9.60, G
"Carbohydrate", 80.40, G
"Folate", 45.00, UG
"Folic acid", 0.00, UG
"Fiber", 22.9, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.01, G
"Lutein + zeaxanthin", 245.00, UG
"Vitamin E", 0.80, MG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 2.00, UG
"Carotene, alpha", 1.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 5.7, UG
"Folate, food", 45.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosenoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Folate, DFE", 45.00, UG
"Choline", 20.0, MG
"Alcohol, ethyl", 0.0, G
"Sodium, Na", 557.00, MG
"Water", 5.00, G
"Niacin", 1.581, MG
"Pantothenic acid", 0.569, MG
"Vitamin B6", 0.271, MG
"Calcium, Ca", 40.00, MG
"Potassium, K", 495.00, MG
"Zinc, Zn", 2.80, MG
"Monounsaturated fatty acids", 0.152, G
"Polyunsaturated fatty acids", 0.397, G
"Eicosenoic acid", 0.004, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.101, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.145, G
"Octadecadienoic acid", 0.349, G
"Octadecatrienoic acid", 0.048, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.108, G
"Vitamin B12", 0.00, UG
"Thiamin", 0.427, MG
"Riboflavin", 0.289, MG
"Ash", 4.10, G
"Copper, Cu", 0.461, MG
"Iron, Fe", 5.94, MG
"Magnesium, Mg", 121.00, MG
"Phosphorus, P", 334.00, MG
"Hexadecenoic acid", 0.003, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.001, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 23.8, UG
"Vitamin C", 0.1, MG
"Manganese, Mn", 5.366, MG
"Vitamin A", 5.00, IU
"Tocopherol, alpha", 0.80, MG
# Downloaded from https://www.nutritionvalue.org 
