charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Crackers, rusk toast
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 407.00, KCAL
"Fat", 7.20, G
"Protein", 13.50, G
"Carbohydrate", 72.30, G
"Folate, DFE", 103.00, UG
"Folate", 87.00, UG
"Folic acid", 23.00, UG
"Retinol", 12.00, UG
"Vitamin A, RAE", 12.00, UG
"Water", 5.50, G
"Calcium, Ca", 27.00, MG
"Potassium, K", 245.00, MG
"Zinc, Zn", 1.10, MG
"Niacin", 4.625, MG
"Isoleucine", 0.610, G
"Leucine", 1.010, G
"Lysine", 0.684, G
"Cystine", 0.272, G
"Valine", 0.684, G
"Arginine", 0.649, G
"Histidine", 0.309, G
"Aspartic acid", 0.944, G
"Serine", 0.768, G
"Vitamin C", 0.0, MG
"Thiamin", 0.404, MG
"Riboflavin", 0.399, MG
"Iron, Fe", 2.72, MG
"Magnesium, Mg", 36.00, MG
"Phosphorus, P", 153.00, MG
"Sodium, Na", 253.00, MG
"Copper, Cu", 0.245, MG
"Manganese, Mn", 0.439, MG
"Ash", 1.20, G
"Folate, food", 64.00, UG
"Tryptophan", 0.171, G
"Threonine", 0.512, G
"Methionine", 0.290, G
"Phenylalanine", 0.668, G
"Tyrosine", 0.471, G
"Alanine", 0.606, G
"Glutamic acid", 3.192, G
"Glycine", 0.498, G
"Proline", 1.052, G
"Pantothenic acid", 0.605, MG
"Vitamin B6", 0.047, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.973, G
"Octadecanoic acid", 0.386, G
"Octadecenoic acid", 2.678, G
"Octadecadienoic acid", 2.114, G
"Octadecatrienoic acid", 0.143, G
"Eicosatetraenoic acid", 0.026, G
"Octadecatetraenoic acid", 0.003, G
"Eicosenoic acid", 0.005, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 2.755, G
"Polyunsaturated fatty acids", 2.310, G
"Vitamin A", 41.00, IU
"Vitamin B12", 0.18, UG
"Cholesterol", 78.00, MG
"Saturated fatty acids", 1.376, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.011, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Hexadecenoic acid", 0.065, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Selenium, Se", 20.1, UG
# Downloaded from https://www.nutritionvalue.org 
