charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Crackers, rye, crispbread
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 366.00, KCAL
"Fat", 1.30, G
"Protein", 7.90, G
"Carbohydrate", 82.20, G
"Fiber", 16.5, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.07, G
"Vitamin E", 0.81, MG
"Lutein + zeaxanthin", 194.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 6.0, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Folate", 47.00, UG
"Choline", 20.2, MG
"Folate, DFE", 65.00, UG
"Folic acid", 25.00, UG
"Sodium, Na", 410.00, MG
"Calcium, Ca", 31.00, MG
"Potassium, K", 319.00, MG
"Zinc, Zn", 2.39, MG
"Water", 6.10, G
"Niacin", 1.040, MG
"Pantothenic acid", 0.676, MG
"Vitamin B6", 0.210, MG
"Isoleucine", 0.318, G
"Leucine", 0.556, G
"Lysine", 0.300, G
"Cystine", 0.155, G
"Valine", 0.404, G
"Arginine", 0.366, G
"Histidine", 0.179, G
"Aspartic acid", 0.564, G
"Serine", 0.431, G
"Eicosenoic acid", 0.006, G
"Monounsaturated fatty acids", 0.165, G
"Polyunsaturated fatty acids", 0.557, G
"Hexadecanoic acid", 0.138, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.146, G
"Octadecadienoic acid", 0.479, G
"Octadecatrienoic acid", 0.079, G
"Ash", 2.40, G
"Copper, Cu", 0.255, MG
"Manganese, Mn", 2.475, MG
"Vitamin A", 0.00, IU
"Iron, Fe", 2.43, MG
"Magnesium, Mg", 78.00, MG
"Phosphorus, P", 269.00, MG
"Hexadecenoic acid", 0.012, G
"Vitamin B12", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.243, MG
"Riboflavin", 0.145, MG
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.002, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.145, G
"Folate, food", 22.00, UG
"Tryptophan", 0.092, G
"Threonine", 0.285, G
"Methionine", 0.121, G
"Phenylalanine", 0.403, G
"Tyrosine", 0.168, G
"Alanine", 0.342, G
"Glutamic acid", 2.160, G
"Glycine", 0.310, G
"Proline", 0.822, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Selenium, Se", 36.6, UG
"Tocopherol, alpha", 0.81, MG
# Downloaded from https://www.nutritionvalue.org 
