charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cream, cultured, sour
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 198.00, KCAL
"Fat", 19.35, G
"Protein", 2.44, G
"Carbohydrate", 4.63, G
"Folic acid", 0.00, UG
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Tocopherol, beta", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Starch", 0.00, G
"Fructose", 0.00, G
"Galactose", 0.00, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Pentadecenoic acid", 0.000, G
"Iron, Fe", 0.07, MG
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Phosphorus, P", 76.00, MG
"Sodium, Na", 31.00, MG
"Copper, Cu", 0.018, MG
"Manganese, Mn", 0.015, MG
"Vitamin A", 447.00, IU
"Retinol", 121.00, UG
"Vitamin A, RAE", 124.00, UG
"Carotene, beta", 25.00, UG
"Lactose", 3.41, G
"Ash", 0.51, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.07, G
"Eicosadienoic n-3 acid", 0.001, G
"Docosatetraenoic acid", 0.001, G
"18", 1.00, t
"Thiamin", 0.020, MG
"Riboflavin", 0.168, MG
"Folate", 6.00, UG
"Vitamin B12", 0.21, UG
"Vitamin K", 1.5, UG
"Folate, food", 6.00, UG
"Tryptophan", 0.042, G
"Threonine", 0.142, G
"Methionine", 0.078, G
"Phenylalanine", 0.157, G
"Tyrosine", 0.152, G
"Alanine", 0.116, G
"Glutamic acid", 0.673, G
"Glycine", 0.076, G
"Proline", 0.310, G
"Cholesterol", 59.00, MG
"Fatty acids, total trans", 0.796, G
"Saturated fatty acids", 10.140, G
"Octanoic acid", 0.145, G
"Dodecanoic acid", 0.447, G
"Tetradecanoic acid", 1.626, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.011, G
"Tetradecenoic acid", 0.134, G
"Hexadecenoic acid", 0.294, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Heptadecanoic acid", 0.108, G
"Tetracosanoic acid", 0.006, G
"Tetracosenoic cis acid", 0.001, G
"Cis-octadecenoic acid", 3.463, G
"Cis,cis-octadecadienoic n-6 acid", 0.438, G
"Heptadecenoic acid", 0.007, G
"Fatty acids, total trans-monoenoic", 0.666, G
"Vitamin K (Menaquinone-4)", 6.00, UG
"Monounsaturated fatty acids", 4.594, G
"Polyunsaturated fatty acids", 0.800, G
"Pentadecanoic acid", 0.171, G
"Trans-octadecenoic acid", 0.666, G
"Trans-octadecadienoic acid", 0.130, G
"Octadecadienoic CLAs acid", 0.081, G
"Cis,cis-eicosadienoic n-6 acid", 0.008, G
"Cis-hexadecenoic acid", 0.294, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.006, G
"Eicosadienoic acid", 0.019, G
"Fatty acids, total trans-polyenoic", 0.130, G
"Eicosadienoic n-6 acid", 0.018, G
"Eicosenoic acid", 0.029, G
"Niacin", 0.093, MG
"Pantothenic acid", 0.472, MG
"Vitamin B6", 0.041, MG
"Tocopherol, gamma", 0.30, MG
"Tocotrienol, alpha", 0.02, MG
"Folate, DFE", 6.00, UG
"Sugars", 3.41, G
"Calcium, Ca", 101.00, MG
"Potassium, K", 125.00, MG
"Zinc, Zn", 0.33, MG
"Selenium, Se", 3.7, UG
"Vitamin E", 0.38, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin D2", 0.00, UG
"Lutein + zeaxanthin", 4.00, UG
"Isoleucine", 0.163, G
"Leucine", 0.322, G
"Lysine", 0.275, G
"Cystine", 0.029, G
"Valine", 0.195, G
"Arginine", 0.117, G
"Histidine", 0.092, G
"Aspartic acid", 0.262, G
"Serine", 0.191, G
"Butanoic acid", 0.031, G
"Hexanoic acid", 0.203, G
"Decanoic acid", 0.378, G
"Hexadecanoic acid", 5.154, G
"Octadecanoic acid", 1.832, G
"Eicosanoic acid", 0.027, G
"Octadecenoic acid", 4.129, G
"Octadecadienoic acid", 0.648, G
"Octadecatrienoic acid", 0.074, G
"Eicosatetraenoic acid", 0.025, G
"Water", 73.07, G
"Alcohol, ethyl", 0.0, G
"Lycopene", 0.00, UG
"Fiber", 0.0, G
"Carotene, alpha", 0.00, UG
"Magnesium, Mg", 10.00, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin C", 0.9, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Betaine", 0.6, MG
"Choline", 19.2, MG
"Tocopherol, alpha", 0.38, MG
# Downloaded from https://www.nutritionvalue.org 
