charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cream, half and half, fluid
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 131.00, KCAL
"Fat", 11.50, G
"Protein", 3.13, G
"Carbohydrate", 4.30, G
"Folic acid", 0.00, UG
"Eicosenoic acid", 0.020, G
"Selenium, Se", 3.2, UG
"Vitamin E", 0.25, MG
"Vitamin D (D2 + D3), International Units", 2.00, IU
"Vitamin D2", 0.00, UG
"Monounsaturated fatty acids", 3.320, G
"Polyunsaturated fatty acids", 0.554, G
"Pentadecanoic acid", 0.126, G
"Trans-octadecenoic acid", 0.339, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.083, G
"Octadecadienoic CLAs acid", 0.069, G
"Cis,cis-eicosadienoic n-6 acid", 0.003, G
"Cis-hexadecenoic acid", 0.205, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.014, G
"Fatty acids, total trans-polyenoic", 0.084, G
"Eicosadienoic n-6 acid", 0.014, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Sugars", 4.13, G
"Calcium, Ca", 107.00, MG
"Potassium, K", 132.00, MG
"Zinc, Zn", 0.39, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.109, MG
"Pantothenic acid", 0.539, MG
"Vitamin B6", 0.050, MG
"Isoleucine", 0.160, G
"Leucine", 0.258, G
"Lysine", 0.136, G
"Cystine", 0.016, G
"Valine", 0.187, G
"Arginine", 0.073, G
"Histidine", 0.073, G
"Aspartic acid", 0.230, G
"Serine", 0.104, G
"Butanoic acid", 0.247, G
"Hexanoic acid", 0.202, G
"Decanoic acid", 0.303, G
"Hexadecanoic acid", 3.207, G
"Octadecanoic acid", 1.221, G
"Eicosanoic acid", 0.015, G
"Octadecenoic acid", 2.905, G
"Octadecadienoic acid", 0.466, G
"Octadecatrienoic acid", 0.041, G
"Eicosatetraenoic acid", 0.018, G
"Docosatetraenoic acid", 0.003, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Iron, Fe", 0.05, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.194, MG
"Tryptophan", 0.073, G
"Threonine", 0.139, G
"Methionine", 0.073, G
"Tyrosine", 0.147, G
"Alanine", 0.100, G
"Glutamic acid", 0.629, G
"Glycine", 0.073, G
"Proline", 0.332, G
"Docosanoic acid", 0.004, G
"Tetradecenoic acid", 0.124, G
"Hexadecenoic acid", 0.246, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Heptadecanoic acid", 0.076, G
"Tetracosanoic acid", 0.003, G
"Trans-hexadecenoic acid", 0.041, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 2.566, G
"Cis,cis-octadecadienoic n-6 acid", 0.314, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.025, G
"Fatty acids, total trans-monoenoic", 0.380, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.04, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.001, G
"Cholesterol", 35.00, MG
"Fatty acids, total trans", 0.464, G
"Saturated fatty acids", 7.032, G
"Octanoic acid", 0.127, G
"Dodecanoic acid", 0.351, G
"Tetradecanoic acid", 1.148, G
"Vitamin B12", 0.19, UG
"Ash", 0.51, G
"Fructose", 0.00, G
"Lactose", 4.13, G
"Sodium, Na", 61.00, MG
"Copper, Cu", 0.009, MG
"Manganese, Mn", 0.005, MG
"Galactose", 0.00, G
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Folate, DFE", 3.00, UG
"Vitamin K", 1.3, UG
"Folate, food", 3.00, UG
"Vitamin A", 354.00, IU
"Retinol", 95.00, UG
"Vitamin A, RAE", 97.00, UG
"Betaine", 0.7, MG
"Choline", 18.7, MG
"Fluoride, F", 3.0, UG
"Alcohol, ethyl", 0.0, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Phenylalanine", 0.143, G
"Folate", 3.00, UG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 95.00, MG
"Vitamin C", 0.9, MG
"Fiber", 0.0, G
"Water", 80.57, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 22.00, UG
"Carotene, alpha", 0.00, UG
"Tocopherol, alpha", 0.25, MG
# Downloaded from https://www.nutritionvalue.org 
