charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cream substitute, powdered
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 529.00, KCAL
"Fat", 32.92, G
"Protein", 2.48, G
"Carbohydrate", 59.29, G
"Folic acid", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Monounsaturated fatty acids", 9.796, G
"Polyunsaturated fatty acids", 0.408, G
"Pentadecanoic acid", 0.007, G
"Trans-octadecenoic acid", 5.357, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.179, G
"Octadecadienoic CLAs acid", 0.003, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis-hexadecenoic acid", 0.004, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.005, G
"Eicosadienoic acid", 0.000, G
"Fatty acids, total trans-polyenoic", 0.182, G
"Eicosadienoic n-6 acid", 0.000, G
"Eicosenoic acid", 0.019, G
"Butanoic acid", 0.006, G
"Hexanoic acid", 0.094, G
"Decanoic acid", 0.879, G
"Hexadecanoic acid", 3.146, G
"Octadecanoic acid", 4.290, G
"Eicosanoic acid", 0.081, G
"Octadecenoic acid", 9.768, G
"Octadecadienoic acid", 0.382, G
"Octadecatrienoic acid", 0.026, G
"Vitamin K (Menaquinone-4)", 0.00, UG
"Tocopherol, beta", 0.16, MG
"Tocopherol, gamma", 10.29, MG
"Vitamin E", 1.26, MG
"Pantothenic acid", 0.117, MG
"Sucrose", 0.00, G
"Glucose (dextrose)", 3.52, G
"Maltose", 3.67, G
"Water", 2.98, G
"Sugars", 7.77, G
"Calcium, Ca", 2.00, MG
"Potassium, K", 669.00, MG
"Zinc, Zn", 0.07, MG
"Selenium, Se", 0.0, UG
"Heptadecanoic acid", 0.020, G
"Tetracosanoic acid", 0.022, G
"Trans-hexadecenoic acid", 0.002, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 4.411, G
"Cis,cis-octadecadienoic n-6 acid", 0.200, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.003, G
"Fatty acids, total trans-monoenoic", 5.359, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.02, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.003, G
"Docosatetraenoic acid", 0.000, G
"Ash", 2.34, G
"Fructose", 0.57, G
"Lactose", 0.00, G
"Iron, Fe", 0.26, MG
"Magnesium, Mg", 1.00, MG
"Phosphorus, P", 288.00, MG
"Sodium, Na", 124.00, MG
"Copper, Cu", 0.018, MG
"Manganese, Mn", 0.011, MG
"Vitamin A", 0.00, IU
"Docosanoic acid", 0.052, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.006, G
"Riboflavin", 0.000, MG
"Vitamin K (Dihydrophylloquinone)", 68.20, UG
"Vitamin K", 1.7, UG
"Fatty acids, total trans", 5.541, G
"Saturated fatty acids", 19.146, G
"Octanoic acid", 1.118, G
"Dodecanoic acid", 6.764, G
"Tetradecanoic acid", 2.666, G
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Galactose", 0.00, G
"Tocopherol, delta", 3.55, MG
"Fluoride, F", 112.0, UG
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.066, G
"Threonine", 0.203, G
"Methionine", 0.145, G
"Phenylalanine", 0.257, G
"Tyrosine", 0.274, G
"Alanine", 0.150, G
"Glutamic acid", 1.088, G
"Glycine", 0.096, G
"Proline", 0.540, G
"Fiber", 0.0, G
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Phytosterols", 32.00, MG
"Histidine", 0.142, G
"Aspartic acid", 0.339, G
"Serine", 0.295, G
"Eicosatetraenoic acid", 0.000, G
"Isoleucine", 0.294, G
"Leucine", 0.473, G
"Lysine", 0.385, G
"Cystine", 0.021, G
"Valine", 0.343, G
"Arginine", 0.190, G
"Vitamin B6", 0.000, MG
"Niacin", 0.000, MG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Choline", 2.3, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Folate, DFE", 0.00, UG
"Betaine", 0.1, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Folate, food", 0.00, UG
"Tocopherol, alpha", 1.26, MG
# Downloaded from https://www.nutritionvalue.org 
