charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Croissants, apple
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 254.00, KCAL
"Fat", 8.70, G
"Protein", 7.40, G
"Carbohydrate", 37.10, G
"Folate, DFE", 88.00, UG
"Folate", 57.00, UG
"Folic acid", 44.00, UG
"Retinol", 90.00, UG
"Vitamin A, RAE", 94.00, UG
"Water", 45.60, G
"Calcium, Ca", 30.00, MG
"Potassium, K", 90.00, MG
"Zinc, Zn", 1.03, MG
"Isoleucine", 0.325, G
"Leucine", 0.556, G
"Lysine", 0.318, G
"Cystine", 0.140, G
"Valine", 0.368, G
"Arginine", 0.309, G
"Histidine", 0.166, G
"Aspartic acid", 0.456, G
"Serine", 0.383, G
"Butanoic acid", 0.211, G
"Hexanoic acid", 0.125, G
"Decanoic acid", 0.165, G
"Hexadecanoic acid", 2.115, G
"Octadecanoic acid", 0.908, G
"Octadecenoic acid", 2.169, G
"Octadecadienoic acid", 0.600, G
"Octadecatrienoic acid", 0.118, G
"Eicosatetraenoic acid", 0.019, G
"Eicosenoic acid", 0.004, G
"Docosenoic acid", 0.000, G
"Niacin", 1.600, MG
"Pantothenic acid", 0.596, MG
"Vitamin B6", 0.032, MG
"Ash", 1.20, G
"Fiber", 2.5, G
"Iron, Fe", 1.10, MG
"Magnesium, Mg", 13.00, MG
"Phosphorus, P", 58.00, MG
"Sodium, Na", 274.00, MG
"Copper, Cu", 0.040, MG
"Manganese, Mn", 0.210, MG
"Thiamin", 0.232, MG
"Riboflavin", 0.164, MG
"Folate, food", 13.00, UG
"Tryptophan", 0.086, G
"Threonine", 0.256, G
"Methionine", 0.151, G
"Phenylalanine", 0.359, G
"Tyrosine", 0.243, G
"Alanine", 0.296, G
"Glutamic acid", 1.970, G
"Glycine", 0.296, G
"Proline", 0.712, G
"Octanoic acid", 0.073, G
"Dodecanoic acid", 0.185, G
"Tetradecanoic acid", 0.663, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Hexadecenoic acid", 0.200, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Vitamin C", 0.5, MG
"Vitamin A", 380.00, IU
"Vitamin B12", 0.20, UG
"Cholesterol", 31.00, MG
"Saturated fatty acids", 4.994, G
"Monounsaturated fatty acids", 2.393, G
"Polyunsaturated fatty acids", 0.628, G
"Selenium, Se", 19.0, UG
# Downloaded from https://www.nutritionvalue.org 
