charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Croissants, butter
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 406.00, KCAL
"Fat", 21.00, G
"Protein", 8.20, G
"Carbohydrate", 45.80, G
"Alcohol, ethyl", 0.0, G
"Fiber", 2.6, G
"Folic acid", 60.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.84, MG
"Lutein + zeaxanthin", 74.00, UG
"Retinol", 202.00, UG
"Vitamin A, RAE", 206.00, UG
"Carotene, beta", 38.00, UG
"Carotene, alpha", 0.00, UG
"Folate", 88.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 1.8, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Choline", 38.8, MG
"Folate, DFE", 130.00, UG
"Sugars", 11.26, G
"Vitamin B12, added", 0.00, UG
"Sodium, Na", 384.00, MG
"Vitamin A", 740.00, IU
"Ash", 1.60, G
"Iron, Fe", 2.03, MG
"Magnesium, Mg", 16.00, MG
"Phosphorus, P", 105.00, MG
"Copper, Cu", 0.080, MG
"Manganese, Mn", 0.330, MG
"Folate, food", 28.00, UG
"Tryptophan", 0.099, G
"Threonine", 0.284, G
"Methionine", 0.175, G
"Phenylalanine", 0.416, G
"Tyrosine", 0.271, G
"Alanine", 0.325, G
"Glutamic acid", 2.300, G
"Glycine", 0.288, G
"Proline", 0.778, G
"Vitamin C", 0.2, MG
"Thiamin", 0.388, MG
"Riboflavin", 0.241, MG
"Water", 23.20, G
"Calcium, Ca", 37.00, MG
"Potassium, K", 118.00, MG
"Zinc, Zn", 0.75, MG
"Niacin", 2.188, MG
"Pantothenic acid", 0.861, MG
"Vitamin B6", 0.058, MG
"Docosenoic acid", 0.000, G
"Isoleucine", 0.365, G
"Leucine", 0.623, G
"Lysine", 0.329, G
"Cystine", 0.172, G
"Valine", 0.410, G
"Arginine", 0.339, G
"Histidine", 0.187, G
"Aspartic acid", 0.501, G
"Serine", 0.440, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.595, G
"Hexanoic acid", 0.351, G
"Decanoic acid", 0.459, G
"Hexadecanoic acid", 5.023, G
"Octadecanoic acid", 2.259, G
"Octadecenoic acid", 4.822, G
"Octadecadienoic acid", 0.795, G
"Octadecatrienoic acid", 0.289, G
"Eicosatetraenoic acid", 0.006, G
"Octadecatetraenoic acid", 0.001, G
"Eicosenoic acid", 0.001, G
"Monounsaturated fatty acids", 5.525, G
"Polyunsaturated fatty acids", 1.094, G
"Cholesterol", 67.00, MG
"Saturated fatty acids", 11.659, G
"Octanoic acid", 0.205, G
"Dodecanoic acid", 0.514, G
"Tetradecanoic acid", 1.845, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.429, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Vitamin B12", 0.16, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 22.7, UG
"Tocopherol, alpha", 0.84, MG
# Downloaded from https://www.nutritionvalue.org 
