charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Croissants, cheese
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 414.00, KCAL
"Fat", 20.90, G
"Protein", 9.20, G
"Carbohydrate", 47.00, G
"Alcohol, ethyl", 0.0, G
"Fiber", 2.6, G
"Vitamin K", 10.9, UG
"Retinol", 197.00, UG
"Vitamin A, RAE", 204.00, UG
"Carotene, beta", 89.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 43.00, UG
"Vitamin E", 1.44, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Folate", 74.00, UG
"Sugars", 11.35, G
"Choline", 38.8, MG
"Folate, DFE", 103.00, UG
"Folic acid", 41.00, UG
"Sodium, Na", 361.00, MG
"Copper, Cu", 0.100, MG
"Manganese, Mn", 0.340, MG
"Iron, Fe", 2.15, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 130.00, MG
"Ash", 1.90, G
"Folate, food", 33.00, UG
"Tryptophan", 0.109, G
"Thiamin", 0.523, MG
"Riboflavin", 0.325, MG
"Vitamin B12", 0.32, UG
"Threonine", 0.304, G
"Methionine", 0.187, G
"Phenylalanine", 0.455, G
"Tyrosine", 0.302, G
"Alanine", 0.338, G
"Glutamic acid", 2.585, G
"Glycine", 0.301, G
"Proline", 0.894, G
"Water", 21.00, G
"Calcium, Ca", 53.00, MG
"Potassium, K", 132.00, MG
"Zinc, Zn", 0.94, MG
"Niacin", 2.160, MG
"Pantothenic acid", 0.842, MG
"Vitamin B6", 0.073, MG
"Docosenoic acid", 0.000, G
"Isoleucine", 0.407, G
"Leucine", 0.692, G
"Lysine", 0.371, G
"Cystine", 0.176, G
"Valine", 0.453, G
"Arginine", 0.363, G
"Histidine", 0.212, G
"Aspartic acid", 0.527, G
"Serine", 0.478, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Butanoic acid", 0.497, G
"Hexanoic acid", 0.293, G
"Decanoic acid", 0.382, G
"Hexadecanoic acid", 4.762, G
"Octadecanoic acid", 2.198, G
"Octadecenoic acid", 5.917, G
"Octadecadienoic acid", 2.069, G
"Octadecatrienoic acid", 0.306, G
"Eicosatetraenoic acid", 0.005, G
"Monounsaturated fatty acids", 6.509, G
"Polyunsaturated fatty acids", 2.384, G
"Eicosenoic acid", 0.001, G
"Vitamin A", 805.00, IU
"Vitamin C", 0.2, MG
"Cholesterol", 57.00, MG
"Saturated fatty acids", 10.628, G
"Octanoic acid", 0.170, G
"Dodecanoic acid", 0.426, G
"Tetradecanoic acid", 1.553, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.363, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Vitamin D", 0.00, UG
"Selenium, Se", 26.8, UG
"Tocopherol, alpha", 1.44, MG
# Downloaded from https://www.nutritionvalue.org 
