charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Duck, raw, liver, domesticated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 136.00, KCAL
"Fat", 4.64, G
"Protein", 18.74, G
"Carbohydrate", 3.53, G
"Folic acid", 0.00, UG
"Folate, DFE", 738.00, UG
"Selenium, Se", 67.0, UG
"Retinol", 11984.00, UG
"Vitamin A, RAE", 11984.00, UG
"Ash", 1.32, G
"Vitamin C", 4.5, MG
"Thiamin", 0.562, MG
"Riboflavin", 0.892, MG
"Folate", 738.00, UG
"Vitamin B12", 54.00, UG
"Folate, food", 738.00, UG
"Tryptophan", 0.264, G
"Threonine", 0.833, G
"Methionine", 0.444, G
"Phenylalanine", 0.932, G
"Tyrosine", 0.660, G
"Alanine", 1.088, G
"Glutamic acid", 2.428, G
"Glycine", 1.088, G
"Proline", 0.929, G
"Cholesterol", 515.00, MG
"Saturated fatty acids", 1.440, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.010, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.050, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 30.53, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 269.00, MG
"Sodium, Na", 140.00, MG
"Copper, Cu", 5.962, MG
"Manganese, Mn", 0.258, MG
"Vitamin A", 39907.00, IU
"Water", 71.78, G
"Calcium, Ca", 11.00, MG
"Potassium, K", 230.00, MG
"Zinc, Zn", 3.07, MG
"Niacin", 6.500, MG
"Pantothenic acid", 6.184, MG
"Vitamin B6", 0.760, MG
"Isoleucine", 0.995, G
"Leucine", 1.691, G
"Lysine", 1.418, G
"Cystine", 0.252, G
"Valine", 1.181, G
"Arginine", 1.148, G
"Histidine", 0.498, G
"Aspartic acid", 1.781, G
"Serine", 0.806, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.800, G
"Octadecanoic acid", 0.630, G
"Octadecenoic acid", 0.650, G
"Octadecadienoic acid", 0.370, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.260, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.710, G
"Polyunsaturated fatty acids", 0.630, G
# Downloaded from https://www.nutritionvalue.org 
