charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Duck, raw, meat and skin, domesticated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 404.00, KCAL
"Fat", 39.34, G
"Protein", 11.49, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Retinol", 50.00, UG
"Vitamin A", 168.00, IU
"Choline", 31.0, MG
"Betaine", 4.3, MG
"Selenium, Se", 12.4, UG
"Ash", 0.68, G
"Fiber", 0.0, G
"Iron, Fe", 2.40, MG
"Magnesium, Mg", 15.00, MG
"Phosphorus, P", 139.00, MG
"Sodium, Na", 63.00, MG
"Copper, Cu", 0.236, MG
"Manganese, Mn", 0.017, MG
"Cholesterol", 76.00, MG
"Saturated fatty acids", 13.220, G
"Vitamin C", 2.8, MG
"Thiamin", 0.197, MG
"Riboflavin", 0.210, MG
"Folate", 13.00, UG
"Vitamin B12", 0.25, UG
"Tryptophan", 0.144, G
"Threonine", 0.471, G
"Methionine", 0.291, G
"Phenylalanine", 0.459, G
"Tyrosine", 0.395, G
"Alanine", 0.777, G
"Glutamic acid", 1.709, G
"Glycine", 0.928, G
"Proline", 0.686, G
"Dodecanoic acid", 0.050, G
"Tetradecanoic acid", 0.250, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 1.540, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Water", 48.50, G
"Calcium, Ca", 11.00, MG
"Potassium, K", 209.00, MG
"Zinc, Zn", 1.36, MG
"Niacin", 3.934, MG
"Pantothenic acid", 0.951, MG
"Vitamin B6", 0.190, MG
"Isoleucine", 0.537, G
"Leucine", 0.900, G
"Lysine", 0.912, G
"Cystine", 0.180, G
"Valine", 0.573, G
"Arginine", 0.770, G
"Histidine", 0.283, G
"Aspartic acid", 1.102, G
"Serine", 0.488, G
"Eicosenoic acid", 0.400, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 18.690, G
"Polyunsaturated fatty acids", 5.080, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 9.580, G
"Octadecanoic acid", 3.200, G
"Octadecenoic acid", 16.730, G
"Octadecadienoic acid", 4.690, G
"Octadecatrienoic acid", 0.390, G
"Eicosatetraenoic acid", 0.000, G
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Octanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Folate, DFE", 13.00, UG
"Vitamin D (D2 + D3), International Units", 26.00, IU
"Vitamin D", 0.70, UG
"Vitamin A, RAE", 50.00, UG
"Folate, food", 13.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 5.5, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.70, MG
"Tocopherol, alpha", 0.70, MG
# Downloaded from https://www.nutritionvalue.org 
