charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Durian, raw or frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 147.00, KCAL
"Fat", 5.33, G
"Protein", 1.47, G
"Carbohydrate", 27.09, G
"Cryptoxanthin, beta", 0.00, UG
"Folate, food", 36.00, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Water", 64.99, G
"Calcium, Ca", 6.00, MG
"Potassium, K", 436.00, MG
"Zinc, Zn", 0.28, MG
"Niacin", 1.074, MG
"Pantothenic acid", 0.230, MG
"Vitamin B6", 0.316, MG
"Vitamin A, RAE", 2.00, UG
"Carotene, beta", 23.00, UG
"Carotene, alpha", 6.00, UG
"Vitamin C", 19.7, MG
"Thiamin", 0.374, MG
"Riboflavin", 0.200, MG
"Folate", 36.00, UG
"Ash", 1.12, G
"Fiber", 3.8, G
"Iron, Fe", 0.43, MG
"Magnesium, Mg", 30.00, MG
"Phosphorus, P", 39.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.207, MG
"Manganese, Mn", 0.325, MG
"Vitamin A", 44.00, IU
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
