charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Edamame, prepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 121.00, KCAL
"Fat", 5.20, G
"Protein", 11.91, G
"Carbohydrate", 8.91, G
"Vitamin E", 0.68, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Tocopherol, beta", 0.06, MG
"Tocopherol, gamma", 5.88, MG
"Tocotrienol, alpha", 0.02, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.915, MG
"Pantothenic acid", 0.395, MG
"Vitamin B6", 0.100, MG
"Isoleucine", 0.300, G
"Leucine", 0.745, G
"Lysine", 0.745, G
"Cystine", 0.124, G
"Valine", 0.324, G
"Arginine", 0.724, G
"Histidine", 0.267, G
"Aspartic acid", 1.348, G
"Serine", 0.665, G
"Sucrose", 1.12, G
"Glucose (dextrose)", 0.00, G
"Water", 72.77, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Fructose", 0.12, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Ash", 1.21, G
"Galactose", 0.00, G
"Fiber", 5.2, G
"Tocopherol, delta", 3.57, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 6.1, MG
"Thiamin", 0.200, MG
"Riboflavin", 0.155, MG
"Folate", 311.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 26.7, UG
"Folate, food", 311.00, UG
"Tryptophan", 0.126, G
"Threonine", 0.331, G
"Methionine", 0.141, G
"Phenylalanine", 0.488, G
"Tyrosine", 0.336, G
"Alanine", 0.446, G
"Glutamic acid", 2.020, G
"Glycine", 0.434, G
"Proline", 0.686, G
"Hydroxyproline", 0.000, G
"Saturated fatty acids", 0.620, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.004, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.013, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.004, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.003, G
"Tetracosanoic acid", 0.007, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 1.261, G
"Cis,cis-octadecadienoic n-6 acid", 1.789, G
"Heptadecenoic acid", 0.003, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.36, G
"Eicosadienoic n-3 acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Octadecadienoic CLAs acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.002, G
"Cis-hexadecenoic acid", 0.004, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Fatty acids, total trans-polyenoic", 0.004, G
"Eicosadienoic n-6 acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.437, G
"Octadecanoic acid", 0.144, G
"Eicosanoic acid", 0.011, G
"Octadecenoic acid", 1.265, G
"Octadecadienoic acid", 1.792, G
"Octadecatrienoic acid", 0.358, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.009, G
"Docosenoic acid", 0.001, G
"Monounsaturated fatty acids", 1.282, G
"Polyunsaturated fatty acids", 2.156, G
"Pentadecanoic acid", 0.000, G
"Folate, DFE", 311.00, UG
"Iron, Fe", 2.27, MG
"Magnesium, Mg", 64.00, MG
"Phosphorus, P", 169.00, MG
"Sodium, Na", 6.00, MG
"Copper, Cu", 0.345, MG
"Manganese, Mn", 1.024, MG
"Maltose", 0.95, G
"Calcium, Ca", 63.00, MG
"Potassium, K", 436.00, MG
"Zinc, Zn", 1.37, MG
"Trans-octadecenoic acid", 0.004, G
"Docosenoic trans acid", 0.001, G
"Trans-octadecadienoic acid", 0.004, G
"Starch", 1.51, G
"Fatty acids, total trans", 0.009, G
"Fatty acids, total trans-monoenoic", 0.005, G
"Betaine", 4.5, MG
"Folic acid", 0.00, UG
"Sugars", 2.18, G
"Choline", 56.3, MG
"Vitamin E, added", 0.00, MG
"Selenium, Se", 0.8, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 1619.00, UG
"Vitamin A", 298.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 15.00, UG
"Carotene, beta", 175.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 8.00, UG
"Lycopene", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Tocopherol, alpha", 0.68, MG
# Downloaded from https://www.nutritionvalue.org 
