charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Edamame, unprepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 109.00, KCAL
"Fat", 4.73, G
"Protein", 11.22, G
"Carbohydrate", 7.61, G
"Fructose", 0.21, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Hydroxyproline", 0.000, G
"Tocopherol, delta", 3.04, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 9.7, MG
"Thiamin", 0.150, MG
"Riboflavin", 0.265, MG
"Folate", 303.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 31.4, UG
"Folate, food", 303.00, UG
"Ash", 1.27, G
"Galactose", 0.00, G
"Fiber", 4.8, G
"Vitamin K (Menaquinone-4)", 0.00, UG
"Water", 75.17, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sucrose", 1.13, G
"Glucose (dextrose)", 0.00, G
"Vitamin E", 0.72, MG
"Tocopherol, beta", 0.06, MG
"Tocopherol, gamma", 5.55, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.925, MG
"Pantothenic acid", 0.535, MG
"Vitamin B6", 0.135, MG
"Calcium, Ca", 60.00, MG
"Potassium, K", 482.00, MG
"Zinc, Zn", 1.32, MG
"Iron, Fe", 2.11, MG
"Magnesium, Mg", 61.00, MG
"Phosphorus, P", 161.00, MG
"Sodium, Na", 6.00, MG
"Copper, Cu", 0.324, MG
"Manganese, Mn", 1.010, MG
"Fatty acids, total trans", 0.000, G
"Tryptophan", 0.119, G
"Threonine", 0.312, G
"Methionine", 0.133, G
"Phenylalanine", 0.460, G
"Tyrosine", 0.317, G
"Alanine", 0.421, G
"Glutamic acid", 1.903, G
"Glycine", 0.409, G
"Proline", 0.647, G
"Starch", 0.33, G
"Isoleucine", 0.283, G
"Leucine", 0.702, G
"Lysine", 0.702, G
"Cystine", 0.117, G
"Valine", 0.305, G
"Arginine", 0.682, G
"Histidine", 0.252, G
"Aspartic acid", 1.270, G
"Serine", 0.627, G
"Folic acid", 0.00, UG
"Folate, DFE", 303.00, UG
"Betaine", 0.7, MG
"Maltose", 1.14, G
"Sugars", 2.48, G
"Choline", 56.0, MG
"Tocopherol, alpha", 0.72, MG
# Downloaded from https://www.nutritionvalue.org 
