charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Egg custards, prepared with 2% milk, dry mix
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 112.00, KCAL
"Fat", 2.83, G
"Protein", 4.13, G
"Carbohydrate", 17.61, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Octadecatetraenoic acid", 0.000, G
"Folic acid", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Sucrose", 0.01, G
"Glucose (dextrose)", 0.01, G
"Maltose", 0.01, G
"Water", 74.44, G
"Sugars", 4.63, G
"Calcium, Ca", 146.00, MG
"Potassium, K", 214.00, MG
"Zinc, Zn", 0.61, MG
"Fluoride, F", 3.1, UG
"Selenium, Se", 4.9, UG
"Vitamin E", 0.03, MG
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.135, MG
"Pantothenic acid", 0.683, MG
"Vitamin B6", 0.066, MG
"Choline", 13.5, MG
"Eicosatetraenoic acid", 0.014, G
"Pentadecanoic acid", 0.018, G
"Eicosadienoic acid", 0.003, G
"Tridecanoic acid", 0.002, G
"Eicosenoic acid", 0.005, G
"Docosenoic acid", 0.000, G
"Stigmasterol", 0.00, MG
"Beta-sitosterol", 0.00, MG
"Eicosanoic acid", 0.004, G
"Hexanoic acid", 0.038, G
"Decanoic acid", 0.047, G
"Betaine", 0.9, MG
"Isoleucine", 0.226, G
"Leucine", 0.402, G
"Lysine", 0.301, G
"Cystine", 0.119, G
"Valine", 0.260, G
"Arginine", 0.156, G
"Histidine", 0.091, G
"Aspartic acid", 0.383, G
"Serine", 0.258, G
"Vitamin E, added", 0.00, MG
"Galactose", 0.01, G
"Campesterol", 0.00, MG
"Heptadecanoic acid", 0.010, G
"Heptadecenoic acid", 0.005, G
"Pentadecenoic acid", 0.004, G
"Docosanoic acid", 0.002, G
"Tetradecenoic acid", 0.013, G
"Carotene, beta", 4.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D3", 1.10, UG
"Retinol", 60.00, UG
"Octanoic acid", 0.019, G
"Dodecanoic acid", 0.052, G
"Ash", 1.00, G
"Fructose", 0.01, G
"Lactose", 4.59, G
"Iron, Fe", 0.33, MG
"Magnesium, Mg", 17.00, MG
"Phosphorus, P", 137.00, MG
"Sodium, Na", 87.00, MG
"Copper, Cu", 0.012, MG
"Manganese, Mn", 0.016, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.2, MG
"Thiamin", 0.056, MG
"Riboflavin", 0.235, MG
"Folate", 8.00, UG
"Vitamin B12", 0.58, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.2, UG
"Folate, food", 8.00, UG
"Tryptophan", 0.052, G
"Threonine", 0.159, G
"Methionine", 0.100, G
"Phenylalanine", 0.190, G
"Tyrosine", 0.181, G
"Alanine", 0.156, G
"Glutamic acid", 0.878, G
"Glycine", 0.085, G
"Proline", 0.393, G
"Hydroxyproline", 0.000, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 49.00, MG
"Fatty acids, total trans", 0.078, G
"Vitamin D (D2 + D3), International Units", 44.00, IU
"Tetradecanoic acid", 0.169, G
"Vitamin A, RAE", 61.00, UG
"Vitamin D", 1.10, UG
"Hexadecenoic acid", 0.055, G
"Vitamin A", 208.00, IU
"Saturated fatty acids", 1.475, G
"Folate, DFE", 8.00, UG
"Hexadecanoic acid", 0.739, G
"Octadecanoic acid", 0.304, G
"Butanoic acid", 0.072, G
"Octadecenoic acid", 0.814, G
"Octadecadienoic acid", 0.170, G
"Octadecatrienoic acid", 0.011, G
"Monounsaturated fatty acids", 0.896, G
"Polyunsaturated fatty acids", 0.201, G
"Tocopherol, alpha", 0.03, MG
# Downloaded from https://www.nutritionvalue.org 
