charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Egg, dried, whole
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 592.00, KCAL
"Fat", 43.90, G
"Protein", 48.05, G
"Carbohydrate", 1.13, G
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Carotene, alpha", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin A, RAE", 301.00, UG
"Vitamin A", 1029.00, IU
"Cryptoxanthin, beta", 36.00, UG
"Vitamin K", 1.2, UG
"Maltose", 0.00, G
"Potassium, K", 540.00, MG
"Zinc, Zn", 3.15, MG
"Selenium, Se", 164.7, UG
"Lutein + zeaxanthin", 835.00, UG
"Niacin", 0.340, MG
"Pantothenic acid", 5.550, MG
"Choline", 1266.7, MG
"Folate, DFE", 119.00, UG
"Eicosadienoic acid", 0.000, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Tetracosanoic acid", 0.000, G
"Folate, food", 119.00, UG
"Manganese, Mn", 0.058, MG
"Carotene, beta", 0.00, UG
"Thiamin", 0.183, MG
"Riboflavin", 1.977, MG
"Folate", 119.00, UG
"Phosphorus, P", 629.00, MG
"Copper, Cu", 0.203, MG
"Iron, Fe", 7.20, MG
"Ash", 4.13, G
"Retinol", 300.00, UG
"Vitamin B12", 2.96, UG
"Tryptophan", 0.775, G
"Threonine", 2.129, G
"Methionine", 1.495, G
"Phenylalanine", 2.530, G
"Tyrosine", 1.981, G
"Alanine", 2.706, G
"Glutamic acid", 6.388, G
"Glycine", 1.623, G
"Proline", 1.832, G
"Fatty acids, total trans", 0.265, G
"Saturated fatty acids", 15.069, G
"Sodium, Na", 476.00, MG
"Cis-octadecenoic acid", 15.547, G
"Cis,cis-octadecadienoic n-6 acid", 6.989, G
"Docosapentaenoic n-3 acid (DPA)", 0.02, G
"Heptadecanoic acid", 0.092, G
"Tetradecanoic acid", 0.144, G
"Docosahexaenoic n-3 acid (DHA)", 0.20, G
"Docosanoic acid", 0.023, G
"Tetradecenoic acid", 0.022, G
"Hexadecenoic acid", 0.877, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.17, G
"Trans-octadecatrienoic acid", 0.023, G
"Fatty acids, total trans-monoenoic", 0.182, G
"Vitamin B6", 0.499, MG
"Water", 2.78, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.56, G
"Sugars", 0.56, G
"Calcium, Ca", 244.00, MG
"Vitamin D2", 0.00, UG
"Fatty acids, total trans-polyenoic", 0.083, G
"Isoleucine", 2.434, G
"Leucine", 4.150, G
"Lysine", 3.339, G
"Cystine", 1.070, G
"Valine", 2.991, G
"Arginine", 3.071, G
"Histidine", 1.202, G
"Aspartic acid", 5.020, G
"Serine", 3.773, G
"Hexadecanoic acid", 10.811, G
"Octadecanoic acid", 3.974, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 15.729, G
"Octadecadienoic acid", 7.049, G
"Octadecatrienoic acid", 0.247, G
"Eicosatetraenoic acid", 0.711, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.098, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 16.726, G
"Polyunsaturated fatty acids", 8.314, G
"Pentadecanoic acid", 0.025, G
"Trans-octadecenoic acid", 0.182, G
"Trans,trans-octadecadienoic acid", 0.060, G
"Cis,cis-eicosadienoic n-6 acid", 0.085, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.054, G
"Fiber", 0.0, G
"Alcohol, ethyl", 0.0, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Vitamin C", 0.0, MG
"Vitamin D3", 8.30, UG
"Vitamin D", 8.30, UG
"Vitamin E", 3.88, MG
"Vitamin D (D2 + D3), International Units", 331.00, IU
"Cholesterol", 1630.00, MG
"Magnesium, Mg", 34.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Tocopherol, alpha", 3.88, MG
# Downloaded from https://www.nutritionvalue.org 
