charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Egg, pasteurized, frozen, raw, whole
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 147.00, KCAL
"Fat", 9.95, G
"Protein", 12.33, G
"Carbohydrate", 1.01, G
"Folic acid", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Docosanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Tetracosanoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Galactose", 0.00, G
"Magnesium, Mg", 9.00, MG
"Phosphorus, P", 193.00, MG
"Manganese, Mn", 0.032, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 0.3, UG
"Folate, food", 87.00, UG
"Thiamin", 0.067, MG
"Riboflavin", 0.523, MG
"Folate", 87.00, UG
"Cryptoxanthin, beta", 9.00, UG
"Lycopene", 0.00, UG
"Fructose", 0.00, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Vitamin E, added", 0.00, MG
"Eicosanoic acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Folate, DFE", 87.00, UG
"Sucrose", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Potassium, K", 135.00, MG
"Zinc, Zn", 1.32, MG
"Selenium, Se", 37.2, UG
"Vitamin E", 0.72, MG
"Lutein + zeaxanthin", 471.00, UG
"Niacin", 0.103, MG
"Pantothenic acid", 1.570, MG
"Maltose", 0.00, G
"Choline", 268.3, MG
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.03, G
"Trans-octadecatrienoic acid", 0.000, G
"Cis-octadecenoic acid", 3.617, G
"Cis,cis-octadecadienoic n-6 acid", 1.542, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.032, G
"Docosapentaenoic n-3 acid (DPA)", 0.02, G
"Heptadecanoic acid", 0.022, G
"Tetradecenoic acid", 0.022, G
"Hexadecenoic acid", 0.213, G
"Tetradecanoic acid", 0.032, G
"Docosahexaenoic n-3 acid (DHA)", 0.05, G
"Fatty acids, total trans", 0.054, G
"Saturated fatty acids", 3.382, G
"Glycine", 0.432, G
"Proline", 0.497, G
"Vitamin C", 0.0, MG
"Vitamin B12", 1.00, UG
"Tryptophan", 0.192, G
"Threonine", 0.555, G
"Methionine", 0.400, G
"Phenylalanine", 0.675, G
"Tyrosine", 0.535, G
"Alanine", 0.720, G
"Glutamic acid", 1.649, G
"Retinol", 171.00, UG
"Sodium, Na", 128.00, MG
"Iron, Fe", 1.74, MG
"Ash", 0.91, G
"Serine", 0.983, G
"Fatty acids, total trans-polyenoic", 0.022, G
"Hexadecanoic acid", 2.435, G
"Octadecanoic acid", 0.870, G
"Monounsaturated fatty acids", 3.905, G
"Polyunsaturated fatty acids", 1.892, G
"Pentadecanoic acid", 0.022, G
"Trans-octadecenoic acid", 0.032, G
"Trans,trans-octadecadienoic acid", 0.022, G
"Cis,cis-eicosadienoic n-6 acid", 0.022, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.022, G
"Octadecenoic acid", 3.648, G
"Octadecadienoic acid", 1.564, G
"Octadecatrienoic acid", 0.054, G
"Eicosatetraenoic acid", 0.181, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.022, G
"Isoleucine", 0.661, G
"Leucine", 1.110, G
"Lysine", 0.929, G
"Cystine", 0.288, G
"Valine", 0.816, G
"Arginine", 0.812, G
"Histidine", 0.322, G
"Aspartic acid", 1.302, G
"Vitamin D2", 0.00, UG
"Water", 75.81, G
"Vitamin B6", 0.188, MG
"Sugars", 0.25, G
"Calcium, Ca", 62.00, MG
"Glucose (dextrose)", 0.25, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Fiber", 0.0, G
"Copper, Cu", 0.053, MG
"Vitamin D3", 2.60, UG
"Vitamin D", 2.60, UG
"Vitamin D (D2 + D3), International Units", 105.00, IU
"Vitamin A, RAE", 171.00, UG
"Vitamin A", 570.00, IU
"Cholesterol", 372.00, MG
"Tocopherol, alpha", 0.72, MG
# Downloaded from https://www.nutritionvalue.org 
