charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Egg, poached, cooked, whole
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 143.00, KCAL
"Fat", 9.47, G
"Protein", 12.51, G
"Carbohydrate", 0.71, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Phytosterols", 0.00, MG
"Carotene, alpha", 0.00, UG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Lycopene", 0.00, UG
"Folate", 35.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.10, UG
"Vitamin K", 0.3, UG
"Folate, food", 35.00, UG
"Vitamin B12, added", 0.00, UG
"Folic acid", 0.00, UG
"Vitamin E, added", 0.00, MG
"Hexanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Choline", 234.1, MG
"Betaine", 0.3, MG
"Vitamin D (D2 + D3), International Units", 82.00, IU
"Vitamin D", 2.00, UG
"Potassium, K", 138.00, MG
"Zinc, Zn", 1.29, MG
"Fluoride, F", 1.1, UG
"Selenium, Se", 30.6, UG
"Vitamin E", 1.04, MG
"Lutein + zeaxanthin", 501.00, UG
"Tocopherol, beta", 0.01, MG
"Tocopherol, gamma", 0.50, MG
"Tocotrienol, alpha", 0.06, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.063, MG
"Pantothenic acid", 1.527, MG
"Vitamin B6", 0.144, MG
"Isoleucine", 0.669, G
"Leucine", 1.082, G
"Lysine", 0.909, G
"Cystine", 0.271, G
"Valine", 0.855, G
"Arginine", 0.817, G
"Histidine", 0.308, G
"Aspartic acid", 1.323, G
"Serine", 0.967, G
"Butanoic acid", 0.004, G
"Eicosenoic acid", 0.027, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 3.643, G
"Polyunsaturated fatty acids", 1.904, G
"Pentadecanoic acid", 0.008, G
"Cis,cis-eicosadienoic n-6 acid", 0.018, G
"Eicosadienoic acid", 0.023, G
"Decanoic acid", 0.006, G
"Hexadecanoic acid", 2.222, G
"Octadecanoic acid", 0.808, G
"Eicosanoic acid", 0.003, G
"Octadecenoic acid", 3.397, G
"Octadecadienoic acid", 1.549, G
"Octadecatrienoic acid", 0.048, G
"Eicosatetraenoic acid", 0.188, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.37, G
"Maltose", 0.00, G
"Water", 75.85, G
"Sugars", 0.37, G
"Calcium, Ca", 56.00, MG
"Ash", 1.46, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Iron, Fe", 1.75, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 197.00, MG
"Sodium, Na", 297.00, MG
"Copper, Cu", 0.072, MG
"Manganese, Mn", 0.028, MG
"Vitamin A", 538.00, IU
"Retinol", 159.00, UG
"Vitamin A, RAE", 160.00, UG
"Cryptoxanthin, beta", 9.00, UG
"Carotene, beta", 0.00, UG
"Vitamin B12", 0.71, UG
"Tocopherol, delta", 0.06, MG
"Tocotrienol, gamma", 0.01, MG
"Thiamin", 0.032, MG
"Riboflavin", 0.387, MG
"Cholesterol", 370.00, MG
"Fatty acids, total trans", 0.038, G
"Saturated fatty acids", 3.113, G
"Octanoic acid", 0.004, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.033, G
"Docosahexaenoic n-3 acid (DHA)", 0.06, G
"Docosanoic acid", 0.004, G
"Tetradecenoic acid", 0.007, G
"Hexadecenoic acid", 0.200, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Tryptophan", 0.166, G
"Threonine", 0.553, G
"Methionine", 0.378, G
"Phenylalanine", 0.677, G
"Tyrosine", 0.497, G
"Alanine", 0.732, G
"Glutamic acid", 1.667, G
"Glycine", 0.430, G
"Proline", 0.510, G
"Heptadecanoic acid", 0.021, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.012, G
"Pentadecenoic acid", 0.000, G
"Docosatetraenoic acid", 0.013, G
"Folate, DFE", 35.00, UG
"Vitamin D3", 2.00, UG
"Tocopherol, alpha", 1.04, MG
# Downloaded from https://www.nutritionvalue.org 
