charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Egg, raw, fresh, whole, duck
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 185.00, KCAL
"Fat", 13.77, G
"Protein", 12.81, G
"Carbohydrate", 1.45, G
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 459.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.93, G
"Vitamin E", 1.34, MG
"Carotene, beta", 14.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 12.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.4, UG
"Retinol", 192.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Folate, DFE", 80.00, UG
"Vitamin D (D2 + D3), International Units", 69.00, IU
"Choline", 263.4, MG
"Vitamin A", 674.00, IU
"Vitamin A, RAE", 194.00, UG
"Folate, food", 80.00, UG
"Vitamin D3", 1.70, UG
"Vitamin D", 1.70, UG
"Alcohol, ethyl", 0.0, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Ash", 1.14, G
"Cholesterol", 884.00, MG
"Saturated fatty acids", 3.681, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.054, G
"Hexadecenoic acid", 0.441, G
"Tryptophan", 0.260, G
"Threonine", 0.736, G
"Methionine", 0.576, G
"Phenylalanine", 0.840, G
"Tyrosine", 0.613, G
"Alanine", 0.631, G
"Glutamic acid", 1.789, G
"Glycine", 0.422, G
"Proline", 0.480, G
"Fiber", 0.0, G
"Iron, Fe", 3.85, MG
"Magnesium, Mg", 17.00, MG
"Phosphorus, P", 220.00, MG
"Sodium, Na", 146.00, MG
"Copper, Cu", 0.062, MG
"Manganese, Mn", 0.038, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.156, MG
"Riboflavin", 0.404, MG
"Folate", 80.00, UG
"Vitamin B12", 5.40, UG
"Niacin", 0.200, MG
"Pantothenic acid", 1.862, MG
"Vitamin B6", 0.250, MG
"Monounsaturated fatty acids", 6.525, G
"Polyunsaturated fatty acids", 1.223, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 2.996, G
"Octadecanoic acid", 0.632, G
"Octadecenoic acid", 6.084, G
"Octadecadienoic acid", 0.558, G
"Octadecatrienoic acid", 0.102, G
"Eicosatetraenoic acid", 0.319, G
"Isoleucine", 0.598, G
"Leucine", 1.097, G
"Lysine", 0.951, G
"Cystine", 0.285, G
"Valine", 0.885, G
"Arginine", 0.765, G
"Histidine", 0.320, G
"Aspartic acid", 0.777, G
"Serine", 0.963, G
"Calcium, Ca", 64.00, MG
"Potassium, K", 222.00, MG
"Zinc, Zn", 1.41, MG
"Water", 70.83, G
"Selenium, Se", 36.4, UG
"Tocopherol, alpha", 1.34, MG
# Downloaded from https://www.nutritionvalue.org 
