charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Egg, raw, fresh, whole, goose
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 185.00, KCAL
"Fat", 13.27, G
"Protein", 13.87, G
"Carbohydrate", 1.35, G
"Folic acid", 0.00, UG
"Retinol", 185.00, UG
"Carotene, beta", 13.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 0.4, UG
"Cryptoxanthin, beta", 12.00, UG
"Lycopene", 0.00, UG
"Vitamin E", 1.29, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.94, G
"Lutein + zeaxanthin", 442.00, UG
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Folate, food", 76.00, UG
"Vitamin D3", 1.70, UG
"Vitamin D", 1.70, UG
"Vitamin A, RAE", 187.00, UG
"Vitamin A", 650.00, IU
"Choline", 263.4, MG
"Vitamin D (D2 + D3), International Units", 66.00, IU
"Folate, DFE", 76.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Calcium, Ca", 60.00, MG
"Potassium, K", 210.00, MG
"Zinc, Zn", 1.33, MG
"Water", 70.43, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 2.849, G
"Octadecanoic acid", 0.696, G
"Octadecenoic acid", 5.353, G
"Octadecadienoic acid", 0.680, G
"Octadecatrienoic acid", 0.554, G
"Eicosatetraenoic acid", 0.279, G
"Isoleucine", 0.647, G
"Leucine", 1.188, G
"Lysine", 1.030, G
"Cystine", 0.309, G
"Valine", 0.958, G
"Arginine", 0.828, G
"Histidine", 0.346, G
"Aspartic acid", 0.841, G
"Serine", 1.043, G
"Niacin", 0.189, MG
"Pantothenic acid", 1.759, MG
"Vitamin B6", 0.236, MG
"Monounsaturated fatty acids", 5.747, G
"Polyunsaturated fatty acids", 1.672, G
"Ash", 1.08, G
"Fiber", 0.0, G
"Iron, Fe", 3.64, MG
"Magnesium, Mg", 16.00, MG
"Phosphorus, P", 208.00, MG
"Sodium, Na", 138.00, MG
"Copper, Cu", 0.062, MG
"Manganese, Mn", 0.038, MG
"Tryptophan", 0.282, G
"Threonine", 0.797, G
"Methionine", 0.624, G
"Phenylalanine", 0.910, G
"Tyrosine", 0.664, G
"Alanine", 0.683, G
"Glutamic acid", 1.937, G
"Glycine", 0.457, G
"Proline", 0.520, G
"Cholesterol", 852.00, MG
"Saturated fatty acids", 3.595, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.050, G
"Vitamin C", 0.0, MG
"Thiamin", 0.147, MG
"Riboflavin", 0.382, MG
"Folate", 76.00, UG
"Vitamin B12", 5.10, UG
"Hexadecenoic acid", 0.394, G
"Selenium, Se", 36.9, UG
"Tocopherol, alpha", 1.29, MG
# Downloaded from https://www.nutritionvalue.org 
