charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Egg, raw, fresh, whole, turkey
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 171.00, KCAL
"Fat", 11.88, G
"Protein", 13.68, G
"Carbohydrate", 1.15, G
"Folic acid", 0.00, UG
"Folate, DFE", 71.00, UG
"Retinol", 166.00, UG
"Vitamin A, RAE", 166.00, UG
"Isoleucine", 0.855, G
"Leucine", 1.201, G
"Lysine", 0.924, G
"Cystine", 0.326, G
"Valine", 0.985, G
"Arginine", 0.876, G
"Histidine", 0.330, G
"Aspartic acid", 1.357, G
"Serine", 1.040, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 2.719, G
"Octadecanoic acid", 0.877, G
"Octadecenoic acid", 3.899, G
"Octadecadienoic acid", 1.166, G
"Octadecatrienoic acid", 0.079, G
"Eicosatetraenoic acid", 0.127, G
"Monounsaturated fatty acids", 4.571, G
"Polyunsaturated fatty acids", 1.658, G
"Water", 72.50, G
"Calcium, Ca", 99.00, MG
"Potassium, K", 142.00, MG
"Zinc, Zn", 1.58, MG
"Niacin", 0.024, MG
"Pantothenic acid", 1.889, MG
"Vitamin B6", 0.131, MG
"Ash", 0.79, G
"Fiber", 0.0, G
"Iron, Fe", 4.10, MG
"Magnesium, Mg", 13.00, MG
"Phosphorus, P", 170.00, MG
"Sodium, Na", 151.00, MG
"Copper, Cu", 0.062, MG
"Manganese, Mn", 0.038, MG
"Vitamin A", 554.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.110, MG
"Riboflavin", 0.470, MG
"Folate", 71.00, UG
"Vitamin B12", 1.69, UG
"Folate, food", 71.00, UG
"Tryptophan", 0.219, G
"Threonine", 0.672, G
"Methionine", 0.442, G
"Phenylalanine", 0.773, G
"Tyrosine", 0.569, G
"Alanine", 0.799, G
"Glutamic acid", 1.742, G
"Glycine", 0.455, G
"Proline", 0.543, G
"Cholesterol", 933.00, MG
"Saturated fatty acids", 3.632, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.036, G
"Hexadecenoic acid", 0.672, G
"Selenium, Se", 34.3, UG
# Downloaded from https://www.nutritionvalue.org 
