charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Eggplant, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 25.00, KCAL
"Fat", 0.18, G
"Protein", 0.98, G
"Carbohydrate", 5.88, G
"Folic acid", 0.00, UG
"Vitamin E", 0.30, MG
"Niacin", 0.649, MG
"Vitamin C", 2.2, MG
"Vitamin K", 3.5, UG
"Thiamin", 0.039, MG
"Riboflavin", 0.037, MG
"Folate", 22.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A, RAE", 1.00, UG
"Folate, food", 22.00, UG
"Folate, DFE", 22.00, UG
"Choline", 6.9, MG
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Isoleucine", 0.045, G
"Leucine", 0.064, G
"Lysine", 0.047, G
"Cystine", 0.006, G
"Valine", 0.053, G
"Arginine", 0.057, G
"Histidine", 0.023, G
"Aspartic acid", 0.164, G
"Serine", 0.042, G
"Hexadecanoic acid", 0.025, G
"Octadecanoic acid", 0.009, G
"Octadecenoic acid", 0.014, G
"Octadecadienoic acid", 0.063, G
"Octadecatrienoic acid", 0.013, G
"Monounsaturated fatty acids", 0.016, G
"Polyunsaturated fatty acids", 0.076, G
"Saturated fatty acids", 0.034, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Phytosterols", 7.00, MG
"Hexadecenoic acid", 0.002, G
"Tetradecanoic acid", 0.000, G
"Tryptophan", 0.009, G
"Threonine", 0.037, G
"Methionine", 0.011, G
"Phenylalanine", 0.043, G
"Tyrosine", 0.027, G
"Alanine", 0.051, G
"Glutamic acid", 0.186, G
"Glycine", 0.041, G
"Proline", 0.043, G
"Lutein + zeaxanthin", 36.00, UG
"Sugars", 3.53, G
"Calcium, Ca", 9.00, MG
"Potassium, K", 229.00, MG
"Zinc, Zn", 0.16, MG
"Sucrose", 0.26, G
"Glucose (dextrose)", 1.58, G
"Water", 92.30, G
"Carotene, beta", 14.00, UG
"Carotene, alpha", 0.00, UG
"Fiber", 3.0, G
"Iron, Fe", 0.23, MG
"Magnesium, Mg", 14.00, MG
"Phosphorus, P", 24.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.081, MG
"Manganese, Mn", 0.232, MG
"Vitamin A", 23.00, IU
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Ash", 0.66, G
"Fructose", 1.54, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Pantothenic acid", 0.281, MG
"Vitamin B6", 0.084, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.3, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Tocopherol, alpha", 0.30, MG
# Downloaded from https://www.nutritionvalue.org 
