charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Figs, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 74.00, KCAL
"Fat", 0.30, G
"Protein", 0.75, G
"Carbohydrate", 19.18, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Folate", 6.00, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Monounsaturated fatty acids", 0.066, G
"Polyunsaturated fatty acids", 0.144, G
"Hexadecanoic acid", 0.046, G
"Octadecanoic acid", 0.012, G
"Octadecenoic acid", 0.066, G
"Octadecadienoic acid", 0.144, G
"Isoleucine", 0.023, G
"Leucine", 0.033, G
"Lysine", 0.030, G
"Cystine", 0.012, G
"Valine", 0.028, G
"Arginine", 0.017, G
"Histidine", 0.011, G
"Aspartic acid", 0.176, G
"Serine", 0.037, G
"Water", 79.11, G
"Calcium, Ca", 35.00, MG
"Potassium, K", 232.00, MG
"Zinc, Zn", 0.15, MG
"Niacin", 0.400, MG
"Pantothenic acid", 0.300, MG
"Vitamin B6", 0.113, MG
"Ash", 0.66, G
"Iron, Fe", 0.37, MG
"Magnesium, Mg", 17.00, MG
"Phosphorus, P", 14.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.070, MG
"Manganese, Mn", 0.128, MG
"Vitamin A", 142.00, IU
"Vitamin B12", 0.00, UG
"Vitamin C", 2.0, MG
"Thiamin", 0.060, MG
"Riboflavin", 0.050, MG
"Tryptophan", 0.006, G
"Threonine", 0.024, G
"Methionine", 0.006, G
"Phenylalanine", 0.018, G
"Tyrosine", 0.032, G
"Alanine", 0.045, G
"Glutamic acid", 0.072, G
"Glycine", 0.025, G
"Proline", 0.049, G
"Saturated fatty acids", 0.060, G
"Cholesterol", 0.00, MG
"Phytosterols", 31.00, MG
"Tetradecanoic acid", 0.002, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Fiber", 2.9, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 4.7, UG
"Carotene, beta", 85.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 16.26, G
"Selenium, Se", 0.2, UG
"Vitamin E", 0.11, MG
"Lutein + zeaxanthin", 9.00, UG
"Vitamin A, RAE", 7.00, UG
"Folate, food", 6.00, UG
"Folate, DFE", 6.00, UG
"Choline", 4.7, MG
"Tocopherol, alpha", 0.11, MG
# Downloaded from https://www.nutritionvalue.org 
