charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, dried (Alaska Native), chum, salmon
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 378.00, KCAL
"Fat", 14.38, G
"Protein", 62.09, G
"Carbohydrate", 0.00, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Galactose", 0.00, G
"Fiber", 0.0, G
"Starch", 0.00, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Folate, DFE", 12.00, UG
"Zinc, Zn", 1.40, MG
"Selenium, Se", 103.8, UG
"Vitamin E", 0.82, MG
"Water", 22.79, G
"Calcium, Ca", 155.00, MG
"Potassium, K", 910.00, MG
"Betaine", 10.6, MG
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 1.185, G
"Octadecanoic acid", 0.345, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 1.990, G
"Octadecadienoic acid", 0.125, G
"Octadecatrienoic acid", 0.115, G
"Eicosatetraenoic acid", 0.115, G
"Octadecatetraenoic acid", 0.135, G
"Eicosenoic acid", 1.405, G
"Docosenoic acid", 1.230, G
"Monounsaturated fatty acids", 5.139, G
"Polyunsaturated fatty acids", 2.323, G
"Pentadecanoic acid", 0.040, G
"Cis,cis-eicosadienoic n-6 acid", 0.025, G
"Eicosadienoic acid", 0.010, G
"Uncosapentaenoic acid", 0.020, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.05, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 14.650, MG
"Pantothenic acid", 2.760, MG
"Vitamin B6", 0.681, MG
"Choline", 231.2, MG
"Vitamin K (Menaquinone-4)", 1.00, UG
"Folic acid", 0.00, UG
"Ash", 3.69, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Iron, Fe", 2.20, MG
"Magnesium, Mg", 68.00, MG
"Phosphorus, P", 650.00, MG
"Sodium, Na", 190.00, MG
"Copper, Cu", 0.254, MG
"Manganese, Mn", 0.071, MG
"Vitamin A", 53.00, IU
"Retinol", 16.00, UG
"Vitamin A, RAE", 16.00, UG
"Thiamin", 0.356, MG
"Riboflavin", 0.463, MG
"Folate", 12.00, UG
"Vitamin B12", 28.60, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 12.00, UG
"Cholesterol", 214.00, MG
"Saturated fatty acids", 2.395, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.040, G
"Tetradecanoic acid", 0.675, G
"Docosahexaenoic n-3 acid (DHA)", 0.95, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.480, G
"Eicosapentaenoic n-3 acid (EPA)", 0.61, G
"Docosapentaenoic n-3 acid (DPA)", 0.21, G
"Heptadecanoic acid", 0.110, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.030, G
"Heptadecenoic acid", 0.004, G
"Pentadecenoic acid", 0.000, G
"Docosatetraenoic acid", 0.004, G
"Tocopherol, alpha", 0.82, MG
# Downloaded from https://www.nutritionvalue.org 
