charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, dried and salted, Atlantic, cod
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 290.00, KCAL
"Fat", 2.37, G
"Protein", 62.82, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Ash", 18.67, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 2.84, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 0.4, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Choline", 291.3, MG
"Folate, food", 25.00, UG
"Vitamin D3", 4.00, UG
"Vitamin D", 4.00, UG
"Vitamin A", 140.00, IU
"Retinol", 42.00, UG
"Vitamin A, RAE", 42.00, UG
"Folate, DFE", 25.00, UG
"Vitamin D (D2 + D3), International Units", 161.00, IU
"Alcohol, ethyl", 0.0, G
"Water", 16.14, G
"Calcium, Ca", 160.00, MG
"Potassium, K", 1458.00, MG
"Zinc, Zn", 1.59, MG
"Niacin", 7.500, MG
"Pantothenic acid", 1.675, MG
"Vitamin B6", 0.864, MG
"Hexadecanoic acid", 0.321, G
"Octadecanoic acid", 0.106, G
"Octadecenoic acid", 0.215, G
"Octadecadienoic acid", 0.018, G
"Octadecatrienoic acid", 0.004, G
"Eicosatetraenoic acid", 0.078, G
"Octadecatetraenoic acid", 0.004, G
"Eicosenoic acid", 0.053, G
"Docosenoic acid", 0.011, G
"Monounsaturated fatty acids", 0.342, G
"Polyunsaturated fatty acids", 0.804, G
"Isoleucine", 2.895, G
"Leucine", 5.106, G
"Lysine", 5.769, G
"Cystine", 0.673, G
"Valine", 3.236, G
"Arginine", 3.759, G
"Histidine", 1.849, G
"Aspartic acid", 6.433, G
"Serine", 2.563, G
"Fiber", 0.0, G
"Iron, Fe", 2.50, MG
"Magnesium, Mg", 133.00, MG
"Phosphorus, P", 950.00, MG
"Sodium, Na", 7027.00, MG
"Copper, Cu", 0.176, MG
"Manganese, Mn", 0.050, MG
"Vitamin C", 3.5, MG
"Thiamin", 0.268, MG
"Riboflavin", 0.240, MG
"Folate", 25.00, UG
"Vitamin B12", 10.00, UG
"Cholesterol", 152.00, MG
"Saturated fatty acids", 0.462, G
"Tryptophan", 0.704, G
"Threonine", 2.754, G
"Methionine", 1.859, G
"Phenylalanine", 2.452, G
"Tyrosine", 2.121, G
"Alanine", 3.799, G
"Glutamic acid", 9.378, G
"Glycine", 3.015, G
"Proline", 2.221, G
"Tetradecanoic acid", 0.032, G
"Docosahexaenoic n-3 acid (DHA)", 0.42, G
"Hexadecenoic acid", 0.056, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.04, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Selenium, Se", 147.8, UG
"Tocopherol, alpha", 2.84, MG
# Downloaded from https://www.nutritionvalue.org 
