charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, pickled, Atlantic, herring
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 262.00, KCAL
"Fat", 18.00, G
"Protein", 14.19, G
"Carbohydrate", 9.64, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Theobromine", 0.00, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.2, UG
"Vitamin E", 1.71, MG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Vitamin D3", 2.80, UG
"Vitamin D", 2.80, UG
"Vitamin A", 860.00, IU
"Retinol", 258.00, UG
"Vitamin A, RAE", 258.00, UG
"Folate, food", 2.00, UG
"Vitamin D (D2 + D3), International Units", 113.00, IU
"Folate, DFE", 2.00, UG
"Choline", 104.1, MG
"Sugars", 7.71, G
"Alcohol, ethyl", 0.0, G
"Ash", 2.95, G
"Fiber", 0.0, G
"Iron, Fe", 1.22, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.036, MG
"Riboflavin", 0.139, MG
"Folate", 2.00, UG
"Vitamin B12", 4.27, UG
"Tryptophan", 0.159, G
"Threonine", 0.622, G
"Methionine", 0.420, G
"Phenylalanine", 0.554, G
"Tyrosine", 0.479, G
"Alanine", 0.858, G
"Glutamic acid", 2.118, G
"Glycine", 0.681, G
"Proline", 0.502, G
"Magnesium, Mg", 8.00, MG
"Phosphorus, P", 89.00, MG
"Sodium, Na", 870.00, MG
"Copper, Cu", 0.105, MG
"Manganese, Mn", 0.040, MG
"Cholesterol", 13.00, MG
"Saturated fatty acids", 2.381, G
"Tetradecanoic acid", 0.721, G
"Docosahexaenoic n-3 acid (DHA)", 0.55, G
"Hexadecenoic acid", 1.383, G
"Eicosapentaenoic n-3 acid (EPA)", 0.84, G
"Docosapentaenoic n-3 acid (DPA)", 0.08, G
"Calcium, Ca", 77.00, MG
"Water", 55.22, G
"Potassium, K", 69.00, MG
"Zinc, Zn", 0.53, MG
"Niacin", 3.300, MG
"Pantothenic acid", 0.081, MG
"Vitamin B6", 0.170, MG
"Isoleucine", 0.654, G
"Leucine", 1.153, G
"Lysine", 1.303, G
"Cystine", 0.152, G
"Valine", 0.731, G
"Arginine", 0.849, G
"Histidine", 0.418, G
"Aspartic acid", 1.453, G
"Serine", 0.579, G
"Hexadecanoic acid", 1.555, G
"Octadecanoic acid", 0.105, G
"Octadecenoic acid", 1.750, G
"Octadecadienoic acid", 0.211, G
"Eicosenoic acid", 3.648, G
"Docosenoic acid", 5.166, G
"Monounsaturated fatty acids", 11.947, G
"Polyunsaturated fatty acids", 1.679, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 58.5, UG
"Tocopherol, alpha", 1.71, MG
# Downloaded from https://www.nutritionvalue.org 
