charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, prepared, frozen, fish sticks
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 277.00, KCAL
"Fat", 16.23, G
"Protein", 11.01, G
"Carbohydrate", 21.66, G
"Tocotrienol, delta", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Pentadecenoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Eicosanoic acid", 0.044, G
"Octadecenoic acid", 3.052, G
"Octadecadienoic acid", 7.420, G
"Octadecatrienoic acid", 0.248, G
"Eicosatetraenoic acid", 0.007, G
"Octadecatetraenoic acid", 0.002, G
"Eicosenoic acid", 0.049, G
"Docosenoic acid", 0.002, G
"Monounsaturated fatty acids", 3.193, G
"Polyunsaturated fatty acids", 7.824, G
"Pentadecanoic acid", 0.005, G
"Trans-octadecenoic acid", 0.013, G
"Docosenoic trans acid", 0.001, G
"Trans-octadecadienoic acid", 0.108, G
"Octadecadienoic CLAs acid", 0.024, G
"Cis,cis-eicosadienoic n-6 acid", 0.003, G
"Cis-hexadecenoic acid", 0.080, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.011, G
"Eicosadienoic acid", 0.001, G
"Fatty acids, total trans-polyenoic", 0.110, G
"Eicosadienoic n-6 acid", 0.000, G
"Sugars", 1.65, G
"Calcium, Ca", 16.00, MG
"Potassium, K", 185.00, MG
"Zinc, Zn", 0.42, MG
"Selenium, Se", 15.7, UG
"Vitamin E", 6.88, MG
"Vitamin D (D2 + D3), International Units", 1.00, IU
"Vitamin D2", 0.00, UG
"Lutein + zeaxanthin", 42.00, UG
"Tocopherol, beta", 0.13, MG
"Tocopherol, gamma", 5.42, MG
"Tocotrienol, alpha", 0.03, MG
"Decanoic acid", 0.007, G
"Hexadecanoic acid", 3.084, G
"Octadecanoic acid", 0.408, G
"Niacin", 1.536, MG
"Pantothenic acid", 0.272, MG
"Vitamin B6", 0.078, MG
"Choline", 42.8, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Folic acid", 0.00, UG
"Folate, DFE", 24.00, UG
"Betaine", 18.5, MG
"Isoleucine", 0.429, G
"Leucine", 0.852, G
"Lysine", 0.795, G
"Valine", 0.500, G
"Arginine", 0.592, G
"Histidine", 0.230, G
"Aspartic acid", 0.816, G
"Serine", 0.490, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.004, G
"Sucrose", 0.56, G
"Glucose (dextrose)", 0.30, G
"Maltose", 0.58, G
"Water", 49.50, G
"Cholesterol", 28.00, MG
"Fatty acids, total trans", 0.124, G
"Saturated fatty acids", 3.733, G
"Octanoic acid", 0.006, G
"Dodecanoic acid", 0.004, G
"Vitamin C", 0.0, MG
"Thiamin", 0.122, MG
"Riboflavin", 0.116, MG
"Folate", 24.00, UG
"Vitamin B12", 0.96, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 4.7, UG
"Folate, food", 24.00, UG
"Tryptophan", 0.122, G
"Threonine", 0.372, G
"Methionine", 0.296, G
"Phenylalanine", 0.470, G
"Tyrosine", 0.286, G
"Alanine", 0.546, G
"Glutamic acid", 2.317, G
"Glycine", 0.474, G
"Proline", 0.783, G
"Hydroxyproline", 0.002, G
"Ash", 1.61, G
"Starch", 20.46, G
"Fructose", 0.10, G
"Lactose", 0.12, G
"Alcohol, ethyl", 0.0, G
"Galactose", 0.00, G
"Fiber", 1.5, G
"Iron, Fe", 0.84, MG
"Magnesium, Mg", 25.00, MG
"Phosphorus, P", 191.00, MG
"Sodium, Na", 402.00, MG
"Copper, Cu", 0.059, MG
"Manganese, Mn", 0.182, MG
"Vitamin A", 18.00, IU
"Retinol", 3.00, UG
"Vitamin A, RAE", 4.00, UG
"Carotene, beta", 3.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 2.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.63, MG
"Tocotrienol, gamma", 0.03, MG
"Tetradecanoic acid", 0.116, G
"Docosahexaenoic n-3 acid (DHA)", 0.09, G
"Docosanoic acid", 0.025, G
"Hexadecenoic acid", 0.080, G
"Eicosapentaenoic n-3 acid (EPA)", 0.05, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.014, G
"Tetracosanoic acid", 0.015, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.002, G
"Cis-octadecenoic acid", 3.039, G
"Cis,cis-octadecadienoic n-6 acid", 7.289, G
"Docosenoic cis acid", 0.002, G
"Heptadecenoic acid", 0.008, G
"Fatty acids, total trans-monoenoic", 0.014, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.24, G
"Eicosadienoic n-3 acid", 0.001, G
"Trans-octadecatrienoic acid", 0.002, G
"Docosatetraenoic acid", 0.000, G
"Vitamin B12, added", 0.00, UG
"Tocopherol, alpha", 6.88, MG
# Downloaded from https://www.nutritionvalue.org 
