charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, raw, Atlantic, cod
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 82.00, KCAL
"Fat", 0.67, G
"Protein", 17.81, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Choline", 65.2, MG
"Vitamin E", 0.64, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K", 0.1, UG
"Folate, food", 7.00, UG
"Vitamin A", 40.00, IU
"Retinol", 12.00, UG
"Vitamin A, RAE", 12.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin D (D2 + D3), International Units", 36.00, IU
"Folate, DFE", 7.00, UG
"Vitamin D3", 0.90, UG
"Vitamin D", 0.90, UG
"Fiber", 0.0, G
"Iron, Fe", 0.38, MG
"Magnesium, Mg", 32.00, MG
"Phosphorus, P", 203.00, MG
"Sodium, Na", 54.00, MG
"Copper, Cu", 0.028, MG
"Manganese, Mn", 0.015, MG
"Tryptophan", 0.199, G
"Threonine", 0.781, G
"Methionine", 0.527, G
"Phenylalanine", 0.695, G
"Tyrosine", 0.601, G
"Alanine", 1.077, G
"Glutamic acid", 2.658, G
"Glycine", 0.855, G
"Proline", 0.630, G
"Vitamin C", 1.0, MG
"Thiamin", 0.076, MG
"Riboflavin", 0.065, MG
"Folate", 7.00, UG
"Vitamin B12", 0.91, UG
"Ash", 1.16, G
"Cholesterol", 43.00, MG
"Saturated fatty acids", 0.131, G
"Tetradecanoic acid", 0.009, G
"Docosahexaenoic n-3 acid (DHA)", 0.12, G
"Hexadecenoic acid", 0.016, G
"Eicosapentaenoic n-3 acid (EPA)", 0.06, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Water", 81.22, G
"Niacin", 2.063, MG
"Pantothenic acid", 0.153, MG
"Vitamin B6", 0.245, MG
"Isoleucine", 0.821, G
"Leucine", 1.447, G
"Lysine", 1.635, G
"Cystine", 0.191, G
"Valine", 0.917, G
"Arginine", 1.066, G
"Histidine", 0.524, G
"Aspartic acid", 1.823, G
"Serine", 0.726, G
"Calcium, Ca", 16.00, MG
"Potassium, K", 413.00, MG
"Zinc, Zn", 0.45, MG
"Hexadecanoic acid", 0.091, G
"Octadecanoic acid", 0.030, G
"Octadecenoic acid", 0.061, G
"Octadecadienoic acid", 0.005, G
"Octadecatrienoic acid", 0.001, G
"Eicosatetraenoic acid", 0.022, G
"Octadecatetraenoic acid", 0.001, G
"Eicosenoic acid", 0.015, G
"Docosenoic acid", 0.003, G
"Monounsaturated fatty acids", 0.094, G
"Polyunsaturated fatty acids", 0.231, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 33.1, UG
"Tocopherol, alpha", 0.64, MG
# Downloaded from https://www.nutritionvalue.org 
