charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, raw, haddock
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 74.00, KCAL
"Fat", 0.45, G
"Protein", 16.32, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.1, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Retinol", 17.00, UG
"Choline", 65.0, MG
"Alcohol, ethyl", 0.0, G
"Hexanoic acid", 0.000, G
"Folate, DFE", 12.00, UG
"Isoleucine", 0.871, G
"Leucine", 1.537, G
"Lysine", 1.736, G
"Cystine", 0.203, G
"Valine", 0.974, G
"Arginine", 1.131, G
"Histidine", 0.557, G
"Aspartic acid", 1.936, G
"Serine", 0.771, G
"Hexadecanoic acid", 0.063, G
"Octadecanoic acid", 0.020, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.039, G
"Octadecadienoic acid", 0.015, G
"Octadecatrienoic acid", 0.002, G
"Eicosatetraenoic acid", 0.009, G
"Octadecatetraenoic acid", 0.002, G
"Eicosenoic acid", 0.005, G
"Docosenoic acid", 0.002, G
"Monounsaturated fatty acids", 0.061, G
"Polyunsaturated fatty acids", 0.166, G
"Pentadecanoic acid", 0.001, G
"Trans-octadecenoic acid", 0.003, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.001, G
"Octadecadienoic CLAs acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.001, G
"Cis-hexadecenoic acid", 0.003, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.002, G
"Fatty acids, total trans-polyenoic", 0.001, G
"Eicosadienoic n-6 acid", 0.001, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 3.363, MG
"Pantothenic acid", 0.403, MG
"Vitamin B6", 0.281, MG
"Calcium, Ca", 11.00, MG
"Potassium, K", 286.00, MG
"Zinc, Zn", 0.32, MG
"Selenium, Se", 25.9, UG
"Vitamin E", 0.45, MG
"Vitamin D (D2 + D3), International Units", 18.00, IU
"Water", 83.38, G
"Vitamin A, RAE", 17.00, UG
"Vitamin D3", 0.50, UG
"Vitamin D", 0.50, UG
"Vitamin B12", 1.83, UG
"Thiamin", 0.020, MG
"Riboflavin", 0.057, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Ash", 1.28, G
"Iron, Fe", 0.17, MG
"Magnesium, Mg", 21.00, MG
"Phosphorus, P", 227.00, MG
"Sodium, Na", 213.00, MG
"Copper, Cu", 0.021, MG
"Manganese, Mn", 0.011, MG
"Vitamin A", 57.00, IU
"Folate, food", 12.00, UG
"Tryptophan", 0.212, G
"Threonine", 0.829, G
"Methionine", 0.560, G
"Phenylalanine", 0.738, G
"Tyrosine", 0.638, G
"Alanine", 1.143, G
"Glutamic acid", 2.822, G
"Glycine", 0.908, G
"Proline", 0.669, G
"Cholesterol", 54.00, MG
"Fatty acids, total trans", 0.004, G
"Saturated fatty acids", 0.091, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.004, G
"Docosahexaenoic n-3 acid (DHA)", 0.09, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.001, G
"Hexadecenoic acid", 0.004, G
"Eicosapentaenoic n-3 acid (EPA)", 0.04, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Heptadecanoic acid", 0.001, G
"Tetracosanoic acid", 0.000, G
"Trans-hexadecenoic acid", 0.001, G
"Tetracosenoic cis acid", 0.004, G
"Cis-octadecenoic acid", 0.037, G
"Cis,cis-octadecadienoic n-6 acid", 0.014, G
"Docosenoic cis acid", 0.002, G
"Heptadecenoic acid", 0.006, G
"Fatty acids, total trans-monoenoic", 0.003, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.00, G
"Eicosadienoic n-3 acid", 0.001, G
"Docosatetraenoic acid", 0.001, G
"Vitamin C", 0.0, MG
"Folate", 12.00, UG
"Fiber", 0.0, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Tocopherol, alpha", 0.45, MG
# Downloaded from https://www.nutritionvalue.org 
