charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, raw (may have been previously frozen), Pacific, cod
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 69.00, KCAL
"Fat", 0.41, G
"Protein", 15.27, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Choline", 65.0, MG
"Decanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Alcohol, ethyl", 0.0, G
"Galactose", 0.00, G
"Ash", 1.46, G
"Starch", 0.00, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Iron, Fe", 0.16, MG
"Magnesium, Mg", 20.00, MG
"Phosphorus, P", 281.00, MG
"Sodium, Na", 303.00, MG
"Copper, Cu", 0.019, MG
"Manganese, Mn", 0.012, MG
"Vitamin A", 6.00, IU
"Retinol", 2.00, UG
"Vitamin A, RAE", 2.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.033, MG
"Riboflavin", 0.045, MG
"Vitamin B12", 1.98, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 7.00, UG
"Tryptophan", 0.188, G
"Threonine", 0.658, G
"Methionine", 0.418, G
"Phenylalanine", 0.595, G
"Tyrosine", 0.553, G
"Alanine", 0.877, G
"Glutamic acid", 2.297, G
"Glycine", 0.710, G
"Proline", 0.512, G
"Cholesterol", 47.00, MG
"Fatty acids, total trans", 0.005, G
"Saturated fatty acids", 0.085, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.003, G
"Docosahexaenoic n-3 acid (DHA)", 0.10, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.001, G
"Hexadecenoic acid", 0.004, G
"Eicosapentaenoic n-3 acid (EPA)", 0.03, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.001, G
"Tetracosanoic acid", 0.000, G
"Trans-hexadecenoic acid", 0.001, G
"Vitamin D3", 0.50, UG
"Vitamin D", 0.50, UG
"Tetracosenoic cis acid", 0.004, G
"Cis-octadecenoic acid", 0.039, G
"Cis,cis-octadecadienoic n-6 acid", 0.015, G
"Docosenoic cis acid", 0.001, G
"Heptadecenoic acid", 0.014, G
"Fatty acids, total trans-monoenoic", 0.003, G
"Pentadecenoic acid", 0.002, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.00, G
"Eicosadienoic n-3 acid", 0.000, G
"Docosatetraenoic acid", 0.001, G
"Hexadecanoic acid", 0.057, G
"Octadecanoic acid", 0.021, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.042, G
"Octadecadienoic acid", 0.017, G
"Octadecatrienoic acid", 0.001, G
"Eicosatetraenoic acid", 0.008, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.005, G
"Docosenoic acid", 0.001, G
"Monounsaturated fatty acids", 0.073, G
"Polyunsaturated fatty acids", 0.164, G
"Pentadecanoic acid", 0.001, G
"Trans-octadecenoic acid", 0.002, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.002, G
"Octadecadienoic CLAs acid", 0.000, G
"Vitamin K (Menaquinone-4)", 0.00, UG
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 83.95, G
"Folate, DFE", 7.00, UG
"Isoleucine", 0.679, G
"Leucine", 1.211, G
"Lysine", 1.399, G
"Cystine", 0.136, G
"Valine", 0.731, G
"Arginine", 0.982, G
"Histidine", 0.324, G
"Aspartic acid", 1.525, G
"Serine", 0.647, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 1.095, MG
"Pantothenic acid", 0.294, MG
"Vitamin B6", 0.117, MG
"Calcium, Ca", 8.00, MG
"Potassium, K", 235.00, MG
"Zinc, Zn", 0.31, MG
"Selenium, Se", 22.9, UG
"Vitamin E", 0.54, MG
"Vitamin D (D2 + D3), International Units", 20.00, IU
"Hexanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.001, G
"Cis-hexadecenoic acid", 0.004, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.002, G
"Fatty acids, total trans-polyenoic", 0.002, G
"Eicosadienoic n-6 acid", 0.001, G
"Folate", 7.00, UG
"Fiber", 0.0, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Tocopherol, alpha", 0.54, MG
# Downloaded from https://www.nutritionvalue.org 
