charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, regular, (lox), smoked, chinook, salmon
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 117.00, KCAL
"Fat", 4.32, G
"Protein", 18.28, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 2.00, UG
"Retinol", 26.00, UG
"Vitamin A, RAE", 26.00, UG
"Ash", 2.62, G
"Fiber", 0.0, G
"Iron, Fe", 0.85, MG
"Magnesium, Mg", 18.00, MG
"Phosphorus, P", 164.00, MG
"Sodium, Na", 2000.00, MG
"Copper, Cu", 0.230, MG
"Manganese, Mn", 0.017, MG
"Vitamin A", 88.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.023, MG
"Riboflavin", 0.101, MG
"Folate", 2.00, UG
"Vitamin B12", 3.26, UG
"Folate, food", 2.00, UG
"Tryptophan", 0.205, G
"Threonine", 0.801, G
"Methionine", 0.541, G
"Phenylalanine", 0.714, G
"Tyrosine", 0.617, G
"Alanine", 1.106, G
"Glutamic acid", 2.729, G
"Glycine", 0.878, G
"Proline", 0.646, G
"Cholesterol", 23.00, MG
"Saturated fatty acids", 0.929, G
"Tetradecanoic acid", 0.183, G
"Docosahexaenoic n-3 acid (DHA)", 0.27, G
"Hexadecenoic acid", 0.305, G
"Eicosapentaenoic n-3 acid (EPA)", 0.18, G
"Docosapentaenoic n-3 acid (DPA)", 0.07, G
"Water", 72.00, G
"Calcium, Ca", 11.00, MG
"Potassium, K", 175.00, MG
"Zinc, Zn", 0.31, MG
"Niacin", 4.720, MG
"Pantothenic acid", 0.870, MG
"Isoleucine", 0.842, G
"Leucine", 1.486, G
"Lysine", 1.679, G
"Cystine", 0.196, G
"Valine", 0.942, G
"Arginine", 1.094, G
"Histidine", 0.538, G
"Aspartic acid", 1.872, G
"Serine", 0.746, G
"Hexadecanoic acid", 0.560, G
"Octadecanoic acid", 0.186, G
"Octadecenoic acid", 0.949, G
"Octadecadienoic acid", 0.472, G
"Eicosenoic acid", 0.468, G
"Docosenoic acid", 0.301, G
"Monounsaturated fatty acids", 2.023, G
"Polyunsaturated fatty acids", 0.995, G
"Vitamin B6", 0.278, MG
"Selenium, Se", 38.1, UG
# Downloaded from https://www.nutritionvalue.org 
