charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fish, smoked, mixed species, whitefish
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 108.00, KCAL
"Fat", 0.93, G
"Protein", 23.40, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Vitamin D3", 12.80, UG
"Vitamin D", 12.80, UG
"Vitamin K", 0.1, UG
"Folate, food", 7.00, UG
"Vitamin A", 190.00, IU
"Retinol", 57.00, UG
"Vitamin A, RAE", 57.00, UG
"Folate, DFE", 7.00, UG
"Choline", 95.0, MG
"Vitamin E", 0.21, MG
"Vitamin D (D2 + D3), International Units", 512.00, IU
"Alcohol, ethyl", 0.0, G
"Water", 70.83, G
"Calcium, Ca", 18.00, MG
"Potassium, K", 423.00, MG
"Zinc, Zn", 0.49, MG
"Isoleucine", 1.078, G
"Leucine", 1.902, G
"Lysine", 2.149, G
"Cystine", 0.251, G
"Valine", 1.206, G
"Arginine", 1.400, G
"Histidine", 0.689, G
"Aspartic acid", 2.396, G
"Serine", 0.955, G
"Niacin", 2.400, MG
"Pantothenic acid", 0.104, MG
"Vitamin B6", 0.389, MG
"Hexadecanoic acid", 0.177, G
"Octadecanoic acid", 0.044, G
"Octadecenoic acid", 0.205, G
"Octadecadienoic acid", 0.084, G
"Eicosenoic acid", 0.023, G
"Docosenoic acid", 0.024, G
"Monounsaturated fatty acids", 0.278, G
"Polyunsaturated fatty acids", 0.293, G
"Ash", 5.06, G
"Fiber", 0.0, G
"Iron, Fe", 0.50, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 132.00, MG
"Sodium, Na", 1019.00, MG
"Copper, Cu", 0.315, MG
"Manganese, Mn", 0.034, MG
"Tryptophan", 0.262, G
"Threonine", 1.026, G
"Methionine", 0.693, G
"Phenylalanine", 0.914, G
"Tyrosine", 0.790, G
"Alanine", 1.415, G
"Glutamic acid", 3.493, G
"Glycine", 1.123, G
"Proline", 0.827, G
"Vitamin C", 0.0, MG
"Thiamin", 0.032, MG
"Riboflavin", 0.101, MG
"Folate", 7.00, UG
"Vitamin B12", 3.26, UG
"Tetradecanoic acid", 0.007, G
"Docosahexaenoic n-3 acid (DHA)", 0.16, G
"Hexadecenoic acid", 0.026, G
"Eicosapentaenoic n-3 acid (EPA)", 0.05, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Cholesterol", 33.00, MG
"Saturated fatty acids", 0.228, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 13.5, UG
"Tocopherol, alpha", 0.21, MG
# Downloaded from https://www.nutritionvalue.org 
