charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, antelope
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 114.00, KCAL
"Fat", 2.03, G
"Protein", 22.38, G
"Carbohydrate", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 3.19, MG
"Magnesium, Mg", 27.00, MG
"Phosphorus, P", 188.00, MG
"Sodium, Na", 51.00, MG
"Copper, Cu", 0.180, MG
"Manganese, Mn", 0.020, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.320, MG
"Riboflavin", 0.580, MG
"Threonine", 1.035, G
"Methionine", 0.637, G
"Phenylalanine", 0.886, G
"Tyrosine", 0.776, G
"Alanine", 1.304, G
"Glutamic acid", 3.365, G
"Glycine", 1.005, G
"Proline", 1.025, G
"Cholesterol", 95.00, MG
"Saturated fatty acids", 0.740, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.020, G
"Hexadecenoic acid", 0.010, G
"Ash", 1.10, G
"Water", 74.08, G
"Calcium, Ca", 3.00, MG
"Potassium, K", 353.00, MG
"Zinc, Zn", 1.28, MG
"Isoleucine", 0.856, G
"Leucine", 1.891, G
"Lysine", 1.871, G
"Cystine", 0.199, G
"Valine", 0.995, G
"Arginine", 1.473, G
"Histidine", 1.065, G
"Aspartic acid", 2.120, G
"Serine", 0.946, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.340, G
"Octadecanoic acid", 0.370, G
"Octadecenoic acid", 0.480, G
"Octadecadienoic acid", 0.250, G
"Octadecatrienoic acid", 0.070, G
"Eicosatetraenoic acid", 0.120, G
"Eicosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.480, G
"Polyunsaturated fatty acids", 0.440, G
"Selenium, Se", 9.7, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
