charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, bear
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 161.00, KCAL
"Fat", 8.30, G
"Protein", 20.10, G
"Carbohydrate", 0.00, G
"Ash", 0.70, G
"Vitamin C", 0.0, MG
"Thiamin", 0.160, MG
"Riboflavin", 0.680, MG
"Fiber", 0.0, G
"Iron, Fe", 6.65, MG
"Phosphorus, P", 151.00, MG
"Vitamin A", 0.00, IU
"Water", 71.20, G
"Calcium, Ca", 3.00, MG
"Niacin", 3.200, MG
"Selenium, Se", 8.3, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
