charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, deer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 120.00, KCAL
"Fat", 2.42, G
"Protein", 22.96, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 1.1, UG
"Folate, food", 4.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Vitamin E", 0.20, MG
"Lutein + zeaxanthin", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Folate, DFE", 4.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin B6", 0.370, MG
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.020, G
"Threonine", 1.080, G
"Methionine", 0.566, G
"Phenylalanine", 0.937, G
"Tyrosine", 0.812, G
"Alanine", 1.433, G
"Glutamic acid", 3.336, G
"Glycine", 1.175, G
"Proline", 1.183, G
"Cholesterol", 85.00, MG
"Saturated fatty acids", 0.950, G
"Ash", 1.16, G
"Vitamin C", 0.0, MG
"Thiamin", 0.220, MG
"Riboflavin", 0.480, MG
"Folate", 4.00, UG
"Vitamin B12", 6.31, UG
"Fiber", 0.0, G
"Iron, Fe", 3.40, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 202.00, MG
"Sodium, Na", 51.00, MG
"Copper, Cu", 0.253, MG
"Manganese, Mn", 0.041, MG
"Vitamin A", 0.00, IU
"Hexadecenoic acid", 0.030, G
"Isoleucine", 0.908, G
"Leucine", 1.951, G
"Lysine", 2.006, G
"Cystine", 0.257, G
"Valine", 1.073, G
"Arginine", 1.653, G
"Histidine", 1.135, G
"Aspartic acid", 2.130, G
"Serine", 0.974, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.410, G
"Octadecanoic acid", 0.510, G
"Octadecenoic acid", 0.630, G
"Octadecadienoic acid", 0.310, G
"Octadecatrienoic acid", 0.070, G
"Eicosatetraenoic acid", 0.100, G
"Calcium, Ca", 5.00, MG
"Potassium, K", 318.00, MG
"Zinc, Zn", 2.09, MG
"Niacin", 6.370, MG
"Eicosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.670, G
"Polyunsaturated fatty acids", 0.470, G
"Water", 73.57, G
"Selenium, Se", 9.7, UG
"Tocopherol, alpha", 0.20, MG
# Downloaded from https://www.nutritionvalue.org 
