charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, elk
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 111.00, KCAL
"Fat", 1.45, G
"Protein", 22.95, G
"Carbohydrate", 0.00, G
"Alanine", 1.441, G
"Glutamic acid", 3.651, G
"Glycine", 0.974, G
"Proline", 0.992, G
"Cholesterol", 55.00, MG
"Saturated fatty acids", 0.530, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.030, G
"Hexadecenoic acid", 0.130, G
"Vitamin C", 0.0, MG
"Tryptophan", 0.414, G
"Threonine", 0.999, G
"Methionine", 0.551, G
"Phenylalanine", 0.910, G
"Tyrosine", 0.822, G
"Fiber", 0.0, G
"Iron, Fe", 2.76, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 161.00, MG
"Sodium, Na", 58.00, MG
"Copper, Cu", 0.120, MG
"Manganese, Mn", 0.012, MG
"Vitamin A", 0.00, IU
"Ash", 1.00, G
"Water", 74.38, G
"Calcium, Ca", 4.00, MG
"Potassium, K", 312.00, MG
"Zinc, Zn", 2.40, MG
"Isoleucine", 0.740, G
"Leucine", 1.935, G
"Lysine", 2.131, G
"Valine", 0.810, G
"Arginine", 1.575, G
"Histidine", 0.733, G
"Aspartic acid", 2.251, G
"Serine", 1.002, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.350, G
"Octadecanoic acid", 0.140, G
"Octadecenoic acid", 0.230, G
"Octadecadienoic acid", 0.170, G
"Octadecatrienoic acid", 0.040, G
"Eicosatetraenoic acid", 0.090, G
"Eicosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.360, G
"Polyunsaturated fatty acids", 0.300, G
"Selenium, Se", 9.8, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
