charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, goat
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 109.00, KCAL
"Fat", 2.31, G
"Protein", 20.60, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 5.00, UG
"Ash", 1.11, G
"Fiber", 0.0, G
"Iron, Fe", 2.83, MG
"Phosphorus, P", 180.00, MG
"Sodium, Na", 82.00, MG
"Copper, Cu", 0.256, MG
"Manganese, Mn", 0.038, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.110, MG
"Riboflavin", 0.490, MG
"Folate", 5.00, UG
"Vitamin B12", 1.13, UG
"Folate, food", 5.00, UG
"Tryptophan", 0.306, G
"Threonine", 0.981, G
"Methionine", 0.552, G
"Phenylalanine", 0.715, G
"Tyrosine", 0.633, G
"Cholesterol", 57.00, MG
"Saturated fatty acids", 0.710, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.030, G
"Hexadecenoic acid", 0.040, G
"Niacin", 3.750, MG
"Water", 75.84, G
"Calcium, Ca", 13.00, MG
"Potassium, K", 385.00, MG
"Zinc, Zn", 4.00, MG
"Isoleucine", 1.042, G
"Leucine", 1.716, G
"Lysine", 1.532, G
"Cystine", 0.245, G
"Valine", 1.103, G
"Arginine", 1.512, G
"Histidine", 0.429, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.330, G
"Octadecanoic acid", 0.330, G
"Octadecenoic acid", 0.940, G
"Octadecadienoic acid", 0.100, G
"Octadecatrienoic acid", 0.020, G
"Eicosatetraenoic acid", 0.060, G
"Monounsaturated fatty acids", 1.030, G
"Polyunsaturated fatty acids", 0.170, G
"Selenium, Se", 8.8, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
