charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, horse
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 133.00, KCAL
"Fat", 4.60, G
"Protein", 21.39, G
"Carbohydrate", 0.00, G
"Proline", 0.994, G
"Cholesterol", 52.00, MG
"Saturated fatty acids", 1.440, G
"Dodecanoic acid", 0.010, G
"Tetradecanoic acid", 0.170, G
"Hexadecenoic acid", 0.310, G
"Ash", 0.99, G
"Fiber", 0.0, G
"Iron, Fe", 3.82, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 221.00, MG
"Sodium, Na", 53.00, MG
"Copper, Cu", 0.144, MG
"Manganese, Mn", 0.019, MG
"Vitamin A", 0.00, IU
"Vitamin C", 1.0, MG
"Thiamin", 0.130, MG
"Riboflavin", 0.100, MG
"Vitamin B12", 3.00, UG
"Tryptophan", 0.265, G
"Threonine", 0.959, G
"Methionine", 0.473, G
"Phenylalanine", 0.879, G
"Tyrosine", 0.670, G
"Alanine", 1.228, G
"Glutamic acid", 3.116, G
"Glycine", 1.033, G
"Water", 72.63, G
"Calcium, Ca", 6.00, MG
"Potassium, K", 360.00, MG
"Zinc, Zn", 2.90, MG
"Niacin", 4.600, MG
"Vitamin B6", 0.380, MG
"Isoleucine", 1.014, G
"Leucine", 1.696, G
"Lysine", 1.823, G
"Cystine", 0.299, G
"Valine", 1.108, G
"Arginine", 1.401, G
"Histidine", 0.822, G
"Aspartic acid", 2.104, G
"Serine", 0.817, G
"Hexadecanoic acid", 1.080, G
"Octadecanoic acid", 0.160, G
"Octadecenoic acid", 1.300, G
"Octadecadienoic acid", 0.290, G
"Octadecatrienoic acid", 0.360, G
"Monounsaturated fatty acids", 1.610, G
"Polyunsaturated fatty acids", 0.650, G
"Selenium, Se", 10.1, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
