charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, moose
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 102.00, KCAL
"Fat", 0.74, G
"Protein", 22.24, G
"Carbohydrate", 0.00, G
"Sodium, Na", 65.00, MG
"Copper, Cu", 0.067, MG
"Manganese, Mn", 0.008, MG
"Vitamin A", 0.00, IU
"Vitamin C", 4.0, MG
"Thiamin", 0.060, MG
"Riboflavin", 0.270, MG
"Threonine", 1.021, G
"Methionine", 0.569, G
"Phenylalanine", 0.961, G
"Tyrosine", 0.819, G
"Alanine", 1.281, G
"Glutamic acid", 3.602, G
"Glycine", 0.972, G
"Proline", 0.904, G
"Cholesterol", 59.00, MG
"Saturated fatty acids", 0.220, G
"Tetradecanoic acid", 0.000, G
"Hexadecenoic acid", 0.010, G
"Ash", 1.13, G
"Fiber", 0.0, G
"Iron, Fe", 3.21, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 158.00, MG
"Water", 75.55, G
"Calcium, Ca", 5.00, MG
"Potassium, K", 317.00, MG
"Niacin", 5.000, MG
"Isoleucine", 1.068, G
"Leucine", 1.957, G
"Lysine", 2.018, G
"Valine", 1.210, G
"Arginine", 1.438, G
"Histidine", 0.747, G
"Aspartic acid", 2.089, G
"Serine", 0.797, G
"Hexadecanoic acid", 0.090, G
"Octadecanoic acid", 0.130, G
"Octadecenoic acid", 0.140, G
"Octadecadienoic acid", 0.140, G
"Octadecatrienoic acid", 0.030, G
"Eicosatetraenoic acid", 0.070, G
"Monounsaturated fatty acids", 0.150, G
"Polyunsaturated fatty acids", 0.240, G
"Zinc, Zn", 2.80, MG
"Selenium, Se", 9.6, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
