charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Game meat, raw, wild, rabbit
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 114.00, KCAL
"Fat", 2.32, G
"Protein", 21.79, G
"Carbohydrate", 0.00, G
"Ash", 1.12, G
"Fiber", 0.0, G
"Iron, Fe", 3.20, MG
"Magnesium, Mg", 29.00, MG
"Phosphorus, P", 226.00, MG
"Sodium, Na", 50.00, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.060, MG
"Tryptophan", 0.288, G
"Threonine", 0.975, G
"Methionine", 0.545, G
"Phenylalanine", 0.895, G
"Tyrosine", 0.776, G
"Alanine", 1.315, G
"Glutamic acid", 3.496, G
"Glycine", 1.183, G
"Proline", 1.065, G
"Cholesterol", 81.00, MG
"Saturated fatty acids", 0.690, G
"Tetradecanoic acid", 0.060, G
"Hexadecenoic acid", 0.080, G
"Water", 74.51, G
"Calcium, Ca", 12.00, MG
"Potassium, K", 378.00, MG
"Niacin", 6.500, MG
"Isoleucine", 1.034, G
"Leucine", 1.698, G
"Lysine", 1.908, G
"Cystine", 0.274, G
"Valine", 1.108, G
"Arginine", 1.346, G
"Histidine", 0.611, G
"Aspartic acid", 2.129, G
"Serine", 0.966, G
"Hexadecanoic acid", 0.520, G
"Octadecanoic acid", 0.110, G
"Octadecenoic acid", 0.540, G
"Octadecadienoic acid", 0.360, G
"Octadecatrienoic acid", 0.090, G
"Monounsaturated fatty acids", 0.630, G
"Polyunsaturated fatty acids", 0.450, G
"Selenium, Se", 9.4, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
