charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Garlic, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 149.00, KCAL
"Fat", 0.50, G
"Protein", 6.36, G
"Carbohydrate", 33.06, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin E", 0.08, MG
"Choline", 23.2, MG
"Folate, DFE", 3.00, UG
"Lutein + zeaxanthin", 16.00, UG
"Vitamin A", 9.00, IU
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 5.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 1.7, UG
"Folate, food", 3.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Sugars", 1.00, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.089, G
"Cholesterol", 0.00, MG
"Vitamin C", 31.2, MG
"Thiamin", 0.200, MG
"Riboflavin", 0.110, MG
"Folate", 3.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.066, G
"Threonine", 0.157, G
"Methionine", 0.076, G
"Phenylalanine", 0.183, G
"Tyrosine", 0.081, G
"Alanine", 0.132, G
"Glutamic acid", 0.805, G
"Glycine", 0.200, G
"Proline", 0.100, G
"Fiber", 2.1, G
"Iron, Fe", 1.70, MG
"Magnesium, Mg", 25.00, MG
"Phosphorus, P", 153.00, MG
"Sodium, Na", 17.00, MG
"Copper, Cu", 0.299, MG
"Manganese, Mn", 1.672, MG
"Ash", 1.50, G
"Calcium, Ca", 181.00, MG
"Potassium, K", 401.00, MG
"Zinc, Zn", 1.16, MG
"Niacin", 0.700, MG
"Pantothenic acid", 0.596, MG
"Vitamin B6", 1.235, MG
"Water", 58.58, G
"Decanoic acid", 0.002, G
"Hexadecanoic acid", 0.087, G
"Isoleucine", 0.217, G
"Leucine", 0.308, G
"Lysine", 0.273, G
"Cystine", 0.065, G
"Valine", 0.291, G
"Arginine", 0.634, G
"Histidine", 0.113, G
"Aspartic acid", 0.489, G
"Serine", 0.190, G
"Monounsaturated fatty acids", 0.011, G
"Polyunsaturated fatty acids", 0.249, G
"Octadecenoic acid", 0.011, G
"Octadecadienoic acid", 0.229, G
"Octadecatrienoic acid", 0.020, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 14.2, UG
"Tocopherol, alpha", 0.08, MG
# Downloaded from https://www.nutritionvalue.org 
