charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Ginger root, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 80.00, KCAL
"Fat", 0.75, G
"Protein", 1.82, G
"Carbohydrate", 17.77, G
"Folic acid", 0.00, UG
"Water", 78.89, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.70, G
"Calcium, Ca", 16.00, MG
"Potassium, K", 415.00, MG
"Zinc, Zn", 0.34, MG
"Vitamin E", 0.26, MG
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 0.750, MG
"Pantothenic acid", 0.203, MG
"Vitamin B6", 0.160, MG
"Eicosenoic acid", 0.007, G
"Hexadecanoic acid", 0.120, G
"Octadecanoic acid", 0.017, G
"Octadecenoic acid", 0.119, G
"Octadecadienoic acid", 0.120, G
"Octadecatrienoic acid", 0.034, G
"Hexadecenoic acid", 0.021, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 5.0, MG
"Thiamin", 0.025, MG
"Riboflavin", 0.034, MG
"Folate", 11.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 0.1, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cholesterol", 0.00, MG
"Octanoic acid", 0.007, G
"Dodecanoic acid", 0.039, G
"Tetradecanoic acid", 0.018, G
"Phytosterols", 15.00, MG
"Ash", 0.77, G
"Iron, Fe", 0.60, MG
"Magnesium, Mg", 43.00, MG
"Phosphorus, P", 34.00, MG
"Sodium, Na", 13.00, MG
"Copper, Cu", 0.226, MG
"Manganese, Mn", 0.229, MG
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Vitamin A", 0.00, IU
"Vitamin A, RAE", 0.00, UG
"Folate, food", 11.00, UG
"Choline", 28.8, MG
"Folate, DFE", 11.00, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Isoleucine", 0.051, G
"Leucine", 0.074, G
"Lysine", 0.057, G
"Cystine", 0.008, G
"Valine", 0.073, G
"Arginine", 0.043, G
"Histidine", 0.030, G
"Aspartic acid", 0.208, G
"Serine", 0.045, G
"Monounsaturated fatty acids", 0.154, G
"Polyunsaturated fatty acids", 0.154, G
"Fiber", 2.0, G
"Saturated fatty acids", 0.203, G
"Tryptophan", 0.012, G
"Threonine", 0.036, G
"Methionine", 0.013, G
"Phenylalanine", 0.045, G
"Tyrosine", 0.020, G
"Alanine", 0.031, G
"Glutamic acid", 0.162, G
"Glycine", 0.043, G
"Proline", 0.041, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.7, UG
"Tocopherol, alpha", 0.26, MG
# Downloaded from https://www.nutritionvalue.org 
