charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Goose, raw, meat and skin, domesticated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 371.00, KCAL
"Fat", 33.62, G
"Protein", 15.86, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 4.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Alcohol, ethyl", 0.0, G
"Octanoic acid", 0.000, G
"Selenium, Se", 14.4, UG
"Retinol", 17.00, UG
"Vitamin A, RAE", 17.00, UG
"Water", 49.66, G
"Calcium, Ca", 12.00, MG
"Potassium, K", 308.00, MG
"Zinc, Zn", 1.72, MG
"Niacin", 3.608, MG
"Pantothenic acid", 1.294, MG
"Vitamin B6", 0.390, MG
"Isoleucine", 0.746, G
"Leucine", 1.330, G
"Lysine", 1.254, G
"Cystine", 0.247, G
"Valine", 0.777, G
"Arginine", 0.987, G
"Histidine", 0.442, G
"Aspartic acid", 1.426, G
"Serine", 0.632, G
"Eicosenoic acid", 0.040, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 17.770, G
"Polyunsaturated fatty acids", 3.760, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 6.950, G
"Octadecanoic acid", 2.330, G
"Octadecenoic acid", 16.680, G
"Octadecadienoic acid", 3.340, G
"Octadecatrienoic acid", 0.210, G
"Eicosatetraenoic acid", 0.000, G
"Ash", 0.87, G
"Fiber", 0.0, G
"Iron, Fe", 2.50, MG
"Magnesium, Mg", 18.00, MG
"Phosphorus, P", 234.00, MG
"Sodium, Na", 73.00, MG
"Copper, Cu", 0.270, MG
"Manganese, Mn", 0.020, MG
"Vitamin A", 55.00, IU
"Vitamin C", 4.2, MG
"Dodecanoic acid", 0.030, G
"Tetradecanoic acid", 0.170, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.980, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Thiamin", 0.085, MG
"Riboflavin", 0.245, MG
"Folate", 4.00, UG
"Vitamin B12", 0.34, UG
"Folate, food", 4.00, UG
"Tryptophan", 0.207, G
"Threonine", 0.708, G
"Methionine", 0.383, G
"Phenylalanine", 0.665, G
"Tyrosine", 0.508, G
"Alanine", 0.977, G
"Glutamic acid", 2.358, G
"Glycine", 1.005, G
"Proline", 0.766, G
"Cholesterol", 80.00, MG
"Saturated fatty acids", 9.780, G
# Downloaded from https://www.nutritionvalue.org 
