charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Guanabana nectar, canned
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 59.00, KCAL
"Fat", 0.17, G
"Protein", 0.11, G
"Carbohydrate", 14.93, G
"Alcohol, ethyl", 0.0, G
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.029, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.002, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.023, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.048, G
"Octadecadienoic acid", 0.039, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.051, G
"Polyunsaturated fatty acids", 0.039, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Selenium, Se", 0.4, UG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, DFE", 6.00, UG
"Glucose (dextrose)", 6.37, G
"Tocotrienol, alpha", 0.01, MG
"Vitamin E", 0.01, MG
"Niacin", 0.120, MG
"Pantothenic acid", 0.070, MG
"Vitamin B6", 0.007, MG
"Sugars", 13.07, G
"Calcium, Ca", 7.00, MG
"Potassium, K", 25.00, MG
"Zinc, Zn", 0.02, MG
"Maltose", 0.76, G
"Water", 84.72, G
"Thiamin", 0.003, MG
"Riboflavin", 0.011, MG
"Folate", 6.00, UG
"Folate, food", 6.00, UG
"Fiber", 0.1, G
"Iron, Fe", 0.36, MG
"Magnesium, Mg", 3.00, MG
"Phosphorus, P", 2.00, MG
"Sodium, Na", 8.00, MG
"Copper, Cu", 0.010, MG
"Manganese, Mn", 0.010, MG
"Fructose", 5.94, G
"Ash", 0.08, G
"Fatty acids, total trans", 0.000, G
"Sucrose", 0.00, G
"Tocotrienol, beta", 0.00, MG
"Betaine", 0.0, MG
"Choline", 2.2, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.0, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 11.1, MG
"Starch", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Folic acid", 0.00, UG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
