charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Guinea hen, raw, meat only
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 110.00, KCAL
"Fat", 2.47, G
"Protein", 20.64, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 6.00, UG
"Selenium, Se", 17.5, UG
"Retinol", 12.00, UG
"Vitamin A, RAE", 12.00, UG
"Water", 74.44, G
"Calcium, Ca", 11.00, MG
"Potassium, K", 220.00, MG
"Zinc, Zn", 1.20, MG
"Niacin", 8.782, MG
"Pantothenic acid", 0.936, MG
"Vitamin B6", 0.470, MG
"Isoleucine", 1.090, G
"Leucine", 1.549, G
"Lysine", 1.754, G
"Cystine", 0.264, G
"Valine", 1.024, G
"Arginine", 1.245, G
"Histidine", 0.641, G
"Aspartic acid", 1.840, G
"Serine", 0.710, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.420, G
"Octadecanoic acid", 0.180, G
"Octadecenoic acid", 0.570, G
"Octadecadienoic acid", 0.400, G
"Octadecatrienoic acid", 0.020, G
"Eicosatetraenoic acid", 0.070, G
"Eicosenoic acid", 0.010, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.680, G
"Polyunsaturated fatty acids", 0.590, G
"Ash", 1.25, G
"Fiber", 0.0, G
"Iron, Fe", 0.77, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 169.00, MG
"Sodium, Na", 69.00, MG
"Copper, Cu", 0.044, MG
"Manganese, Mn", 0.018, MG
"Vitamin A", 41.00, IU
"Vitamin C", 1.7, MG
"Thiamin", 0.067, MG
"Riboflavin", 0.112, MG
"Folate", 6.00, UG
"Vitamin B12", 0.37, UG
"Folate, food", 6.00, UG
"Tryptophan", 0.241, G
"Threonine", 0.872, G
"Methionine", 0.571, G
"Phenylalanine", 0.819, G
"Tyrosine", 0.697, G
"Alanine", 1.126, G
"Glutamic acid", 3.092, G
"Glycine", 1.014, G
"Proline", 0.849, G
"Cholesterol", 63.00, MG
"Saturated fatty acids", 0.640, G
"Dodecanoic acid", 0.010, G
"Tetradecanoic acid", 0.020, G
"Docosahexaenoic n-3 acid (DHA)", 0.03, G
"Hexadecenoic acid", 0.090, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.02, G
# Downloaded from https://www.nutritionvalue.org 
