charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Ham, minced
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 263.00, KCAL
"Fat", 20.68, G
"Protein", 16.28, G
"Carbohydrate", 1.84, G
"Folic acid", 0.00, UG
"Choline", 69.4, MG
"Betaine", 6.8, MG
"Vitamin C", 0.0, MG
"Vitamin E", 0.27, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 0.0, UG
"Alcohol, ethyl", 0.0, G
"Vitamin D (D2 + D3), International Units", 26.00, IU
"Folate, DFE", 1.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.040, G
"Hexadecanoic acid", 4.421, G
"Octadecanoic acid", 2.410, G
"Octadecenoic acid", 8.851, G
"Octadecadienoic acid", 2.160, G
"Octadecatrienoic acid", 0.310, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 9.581, G
"Polyunsaturated fatty acids", 2.470, G
"Vitamin A, RAE", 0.00, UG
"Folate, food", 1.00, UG
"Saturated fatty acids", 7.181, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.030, G
"Tetradecanoic acid", 0.280, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.730, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D3", 0.70, UG
"Vitamin D", 0.70, UG
"Retinol", 0.00, UG
"Fiber", 0.0, G
"Iron, Fe", 0.79, MG
"Magnesium, Mg", 16.00, MG
"Phosphorus, P", 157.00, MG
"Sodium, Na", 1245.00, MG
"Copper, Cu", 0.080, MG
"Manganese, Mn", 0.031, MG
"Vitamin A", 0.00, IU
"Cholesterol", 70.00, MG
"Thiamin", 0.712, MG
"Riboflavin", 0.190, MG
"Folate", 1.00, UG
"Vitamin B12", 0.95, UG
"Ash", 3.85, G
"Phytosterols", 0.00, MG
"Tryptophan", 0.156, G
"Threonine", 0.734, G
"Methionine", 0.456, G
"Phenylalanine", 0.641, G
"Tyrosine", 0.536, G
"Alanine", 0.948, G
"Glutamic acid", 2.338, G
"Glycine", 0.883, G
"Proline", 0.713, G
"Water", 57.35, G
"Niacin", 4.162, MG
"Pantothenic acid", 0.180, MG
"Vitamin B6", 0.260, MG
"Calcium, Ca", 10.00, MG
"Potassium, K", 311.00, MG
"Zinc, Zn", 1.90, MG
"Isoleucine", 0.700, G
"Leucine", 1.258, G
"Lysine", 1.364, G
"Cystine", 0.190, G
"Valine", 0.747, G
"Arginine", 1.023, G
"Histidine", 0.604, G
"Aspartic acid", 1.500, G
"Serine", 0.677, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 20.0, UG
"Tocopherol, alpha", 0.27, MG
# Downloaded from https://www.nutritionvalue.org 
